Model,Architecture,Device,Time_seconds
CTGAN,"(64, 32)",CPU,0.2494
CTGAN,"(64, 32)",CPU,0.125
CTGAN,"(64, 32)",CPU,0.1373
CTGAN,"(64, 32)",CPU,0.1571
CTGAN,"(64, 32)",CPU,0.1087
CTGAN,"(64, 32)",CPU,0.3029
CTGAN,"(64, 32)",CPU,0.1349
CTGAN,"(64, 32)",CPU,0.1068
CTGAN,"(64, 32)",CPU,0.0746
CTGAN,"(64, 32)",CPU,0.0938
CTGAN,"(64, 32)",CPU,0.0783
CTGAN,"(64, 32)",CPU,0.0955
CTGAN,"(64, 32)",CPU,0.2265
CTGAN,"(64, 32)",CPU,0.188
CTGAN,"(64, 32)",CPU,0.1251
CTGAN,"(64, 32)",CPU,0.1114
CTGAN,"(64, 32)",CPU,0.1877
CTGAN,"(64, 32)",CPU,0.1645
CTGAN,"(64, 32)",CPU,0.1113
CTGAN,"(64, 32)",CPU,0.2987
CTGAN,"(64, 32)",CPU,0.1941
CTGAN,"(64, 32)",CPU,0.3879
CTGAN,"(64, 32)",CPU,0.0628
CTGAN,"(64, 32)",CPU,0.2525
CTGAN,"(64, 32)",CPU,0.1811
CTGAN,"(64, 32)",CPU,0.23
CTGAN,"(64, 32)",CPU,0.0774
CTGAN,"(64, 32)",CPU,0.1951
CTGAN,"(64, 32)",CPU,0.1359
CTGAN,"(64, 32)",CPU,0.1122
CTGAN,"(64, 32)",CPU,0.154
CTGAN,"(64, 32)",CPU,0.2103
CTGAN,"(64, 32)",CPU,0.136
CTGAN,"(64, 32)",CPU,0.146
CTGAN,"(64, 32)",CPU,0.2005
CTGAN,"(64, 32)",CPU,0.1986
CTGAN,"(64, 32)",CPU,0.1266
CTGAN,"(64, 32)",CPU,0.0706
CTGAN,"(64, 32)",CPU,0.0705
CTGAN,"(64, 32)",CPU,0.0607
CTGAN,"(64, 32)",CPU,0.0817
CTGAN,"(64, 32)",CPU,0.1441
CTGAN,"(64, 32)",CPU,0.2402
CTGAN,"(64, 32)",CPU,0.1036
CTGAN,"(64, 32)",CPU,0.1466
CTGAN,"(64, 32)",CPU,0.1838
CTGAN,"(64, 32)",CPU,0.2161
CTGAN,"(64, 32)",CPU,0.1178
CTGAN,"(64, 32)",CPU,0.1193
CTGAN,"(64, 32)",CPU,0.141
CTGAN,"(64, 32)",CPU,0.1807
CTGAN,"(64, 32)",CPU,0.0995
CTGAN,"(64, 32)",CPU,0.1661
CTGAN,"(64, 32)",CPU,0.1213
CTGAN,"(64, 32)",CPU,0.1053
CTGAN,"(64, 32)",CPU,0.1906
CTGAN,"(64, 32)",CPU,0.1111
CTGAN,"(64, 32)",CPU,0.0997
CTGAN,"(64, 32)",CPU,0.0993
CTGAN,"(64, 32)",CPU,0.2571
CTGAN,"(64, 32)",CPU,0.1268
CTGAN,"(64, 32)",CPU,0.0916
CTGAN,"(64, 32)",CPU,0.165
CTGAN,"(64, 32)",CPU,0.1277
CTGAN,"(64, 32)",CPU,0.0676
CTGAN,"(64, 32)",CPU,0.1003
CTGAN,"(64, 32)",CPU,0.0753
CTGAN,"(64, 32)",CPU,0.2456
CTGAN,"(64, 32)",CPU,0.1074
CTGAN,"(64, 32)",CPU,0.0992
CTGAN,"(64, 32)",CPU,0.1469
CTGAN,"(64, 32)",CPU,0.0714
CTGAN,"(64, 32)",CPU,0.0982
CTGAN,"(64, 32)",CPU,0.2548
CTGAN,"(64, 32)",CPU,0.358
CTGAN,"(64, 32)",CPU,0.1022
CTGAN,"(64, 32)",CPU,0.0968
CTGAN,"(64, 32)",CPU,0.0998
CTGAN,"(64, 32)",CPU,0.0983
CTGAN,"(64, 32)",CPU,0.0946
CTGAN,"(64, 32)",CPU,0.1006
CTGAN,"(64, 32)",CPU,0.2225
CTGAN,"(64, 32)",CPU,0.2101
CTGAN,"(64, 32)",CPU,0.0775
CTGAN,"(64, 32)",CPU,0.1747
CTGAN,"(64, 32)",CPU,0.2454
CTGAN,"(64, 32)",CPU,0.2452
CTGAN,"(64, 32)",CPU,0.162
CTGAN,"(64, 32)",CPU,0.1153
CTGAN,"(64, 32)",CPU,0.2607
CTGAN,"(64, 32)",CPU,0.1484
CTGAN,"(64, 32)",CPU,0.0854
CTGAN,"(64, 32)",CPU,0.1369
CTGAN,"(64, 32)",CPU,0.0879
CTGAN,"(64, 32)",CPU,0.0982
CTGAN,"(64, 32)",CPU,0.1073
CTGAN,"(64, 32)",CPU,0.1279
CTGAN,"(64, 32)",CPU,0.1175
CTGAN,"(64, 32)",CPU,0.2525
CTGAN,"(64, 32)",CPU,0.105
CTGAN,"(64, 32)",CPU,0.2125
CTGAN,"(64, 32)",CPU,0.4135
CTGAN,"(64, 32)",CPU,0.1622
CTGAN,"(64, 32)",CPU,0.1166
CTGAN,"(64, 32)",CPU,0.1644
CTGAN,"(64, 32)",CPU,0.3786
CTGAN,"(64, 32)",CPU,0.1993
CTGAN,"(64, 32)",CPU,0.2346
CTGAN,"(64, 32)",CPU,0.2291
CTGAN,"(64, 32)",CPU,0.6677
CTGAN,"(64, 32)",CPU,0.4092
CTGAN,"(64, 32)",CPU,0.1098
CTGAN,"(64, 32)",CPU,0.0916
CTGAN,"(64, 32)",CPU,0.1322
CTGAN,"(64, 32)",CPU,0.3099
CTGAN,"(64, 32)",CPU,0.2876
CTGAN,"(64, 32)",CPU,0.2046
CTGAN,"(64, 32)",CPU,0.169
CTGAN,"(64, 32)",CPU,0.1323
CTGAN,"(64, 32)",CPU,0.1696
CTGAN,"(64, 32)",CPU,0.2059
CTGAN,"(64, 32)",CPU,0.0942
CTGAN,"(64, 32)",CPU,0.1
CTGAN,"(64, 32)",CPU,0.1459
CTGAN,"(64, 32)",CPU,0.5079
CTGAN,"(64, 32)",CPU,0.3858
CTGAN,"(64, 32)",CPU,0.1644
CTGAN,"(64, 32)",CPU,0.1952
CTGAN,"(64, 32)",CPU,0.1698
CTGAN,"(64, 32)",CPU,0.1203
CTGAN,"(64, 32)",CPU,0.1733
CTGAN,"(64, 32)",CPU,0.111
CTGAN,"(64, 32)",CPU,0.208
CTGAN,"(64, 32)",CPU,0.1912
CTGAN,"(64, 32)",CPU,0.1741
CTGAN,"(64, 32)",CPU,0.1058
CTGAN,"(64, 32)",CPU,0.2258
CTGAN,"(64, 32)",CPU,0.063
CTGAN,"(64, 32)",CPU,0.0975
CTGAN,"(64, 32)",CPU,0.1729
CTGAN,"(64, 32)",CPU,0.0992
CTGAN,"(64, 32)",CPU,0.2429
CTGAN,"(64, 32)",CPU,0.1139
CTGAN,"(64, 32)",CPU,0.1409
CTGAN,"(64, 32)",CPU,0.0866
CTGAN,"(64, 32)",CPU,0.2261
CTGAN,"(64, 32)",CPU,0.1843
CTGAN,"(64, 32)",CPU,0.1737
CTGAN,"(64, 32)",CPU,0.1149
CTGAN,"(64, 32)",CPU,0.2526
CTGAN,"(64, 32)",CPU,0.1788
CTGAN,"(64, 32)",CPU,0.1435
CTGAN,"(64, 32)",CPU,0.2462
CTGAN,"(64, 32)",CPU,0.0996
CTGAN,"(64, 32)",CPU,0.1817
CTGAN,"(64, 32)",CPU,0.102
CTGAN,"(64, 32)",CPU,0.1808
CTGAN,"(64, 32)",CPU,0.1738
CTGAN,"(64, 32)",CPU,0.138
CTGAN,"(64, 32)",CPU,0.1555
CTGAN,"(64, 32)",CPU,0.119
CTGAN,"(64, 32)",CPU,0.1068
CTGAN,"(64, 32)",CPU,0.1101
CTGAN,"(64, 32)",CPU,0.0933
CTGAN,"(64, 32)",CPU,0.1345
CTGAN,"(64, 32)",CPU,0.1502
CTGAN,"(64, 32)",CPU,0.1018
CTGAN,"(64, 32)",CPU,0.3123
CTGAN,"(64, 32)",CPU,0.1318
CTGAN,"(64, 32)",CPU,0.1434
CTGAN,"(64, 32)",CPU,0.1058
CTGAN,"(64, 32)",CPU,0.2028
CTGAN,"(64, 32)",CPU,0.1914
CTGAN,"(64, 32)",CPU,0.3895
CTGAN,"(64, 32)",CPU,0.123
CTGAN,"(64, 32)",CPU,0.2219
CTGAN,"(64, 32)",CPU,0.1082
CTGAN,"(64, 32)",CPU,0.1431
CTGAN,"(64, 32)",CPU,0.1061
CTGAN,"(64, 32)",CPU,0.1235
