Model,Architecture,Device,Time_seconds
CTGAN,"(24, 12)",CPU,0.2735
CTGAN,"(24, 12)",CPU,0.2005
CTGAN,"(24, 12)",CPU,0.1965
CTGAN,"(24, 12)",CPU,0.2104
CTGAN,"(24, 12)",CPU,0.2423
CTGAN,"(24, 12)",CPU,0.187
CTGAN,"(24, 12)",CPU,0.2389
CTGAN,"(24, 12)",CPU,0.2059
CTGAN,"(24, 12)",CPU,0.1813
CTGAN,"(24, 12)",CPU,0.1715
CTGAN,"(24, 12)",CPU,0.1717
CTGAN,"(24, 12)",CPU,0.1705
CTGAN,"(24, 12)",CPU,0.1721
CTGAN,"(24, 12)",CPU,0.1706
CTGAN,"(24, 12)",CPU,0.1703
CTGAN,"(24, 12)",CPU,0.1723
CTGAN,"(24, 12)",CPU,0.1707
CTGAN,"(24, 12)",CPU,0.1726
CTGAN,"(24, 12)",CPU,0.1703
CTGAN,"(24, 12)",CPU,0.1714
CTGAN,"(24, 12)",CPU,0.1705
CTGAN,"(24, 12)",CPU,0.1936
CTGAN,"(24, 12)",CPU,0.1725
CTGAN,"(24, 12)",CPU,0.1708
CTGAN,"(24, 12)",CPU,0.17
CTGAN,"(24, 12)",CPU,0.1698
CTGAN,"(24, 12)",CPU,0.1713
CTGAN,"(24, 12)",CPU,0.1714
CTGAN,"(24, 12)",CPU,0.1702
CTGAN,"(24, 12)",CPU,0.1715
CTGAN,"(24, 12)",CPU,0.1699
CTGAN,"(24, 12)",CPU,0.1718
CTGAN,"(24, 12)",CPU,0.1699
CTGAN,"(24, 12)",CPU,0.1712
CTGAN,"(24, 12)",CPU,0.1704
CTGAN,"(24, 12)",CPU,0.1705
CTGAN,"(24, 12)",CPU,0.1729
CTGAN,"(24, 12)",CPU,0.172
CTGAN,"(24, 12)",CPU,0.1702
CTGAN,"(24, 12)",CPU,0.1706
CTGAN,"(24, 12)",CPU,0.1712
CTGAN,"(24, 12)",CPU,0.1698
CTGAN,"(24, 12)",CPU,0.1698
CTGAN,"(24, 12)",CPU,0.1702
CTGAN,"(24, 12)",CPU,0.1706
CTGAN,"(24, 12)",CPU,0.1701
CTGAN,"(24, 12)",CPU,0.1709
CTGAN,"(24, 12)",CPU,0.172
CTGAN,"(24, 12)",CPU,0.1708
CTGAN,"(24, 12)",CPU,0.1702
CTGAN,"(24, 12)",CPU,0.17
CTGAN,"(24, 12)",CPU,0.1717
CTGAN,"(24, 12)",CPU,0.1704
CTGAN,"(24, 12)",CPU,0.1697
CTGAN,"(24, 12)",CPU,0.171
CTGAN,"(24, 12)",CPU,0.1695
CTGAN,"(24, 12)",CPU,0.1698
CTGAN,"(24, 12)",CPU,0.1699
CTGAN,"(24, 12)",CPU,0.1714
CTGAN,"(24, 12)",CPU,0.1701
CTGAN,"(24, 12)",CPU,0.1701
CTGAN,"(24, 12)",CPU,0.1711
CTGAN,"(24, 12)",CPU,0.1701
CTGAN,"(24, 12)",CPU,0.17
CTGAN,"(24, 12)",CPU,0.1701
CTGAN,"(24, 12)",CPU,0.1715
CTGAN,"(24, 12)",CPU,0.1702
CTGAN,"(24, 12)",CPU,0.1702
CTGAN,"(24, 12)",CPU,0.1708
CTGAN,"(24, 12)",CPU,0.1701
CTGAN,"(24, 12)",CPU,0.1699
CTGAN,"(24, 12)",CPU,0.1699
CTGAN,"(24, 12)",CPU,0.1708
CTGAN,"(24, 12)",CPU,0.1697
CTGAN,"(24, 12)",CPU,0.1702
CTGAN,"(24, 12)",CPU,0.1711
CTGAN,"(24, 12)",CPU,0.1699
CTGAN,"(24, 12)",CPU,0.1699
CTGAN,"(24, 12)",CPU,0.17
CTGAN,"(24, 12)",CPU,0.1711
CTGAN,"(24, 12)",CPU,0.1703
CTGAN,"(24, 12)",CPU,0.1704
CTGAN,"(24, 12)",CPU,0.171
CTGAN,"(24, 12)",CPU,0.1711
CTGAN,"(24, 12)",CPU,0.1712
CTGAN,"(24, 12)",CPU,0.1703
CTGAN,"(24, 12)",CPU,0.1714
CTGAN,"(24, 12)",CPU,0.1704
CTGAN,"(24, 12)",CPU,0.1706
CTGAN,"(24, 12)",CPU,0.1708
CTGAN,"(24, 12)",CPU,0.1704
CTGAN,"(24, 12)",CPU,0.1708
CTGAN,"(24, 12)",CPU,0.1709
CTGAN,"(24, 12)",CPU,0.171
CTGAN,"(24, 12)",CPU,0.1698
CTGAN,"(24, 12)",CPU,0.1694
CTGAN,"(24, 12)",CPU,0.1708
CTGAN,"(24, 12)",CPU,0.1701
CTGAN,"(24, 12)",CPU,0.1711
CTGAN,"(24, 12)",CPU,0.1707
CTGAN,"(24, 12)",CPU,0.1708
CTGAN,"(24, 12)",CPU,0.1698
CTGAN,"(24, 12)",CPU,0.1712
CTGAN,"(24, 12)",CPU,0.1713
CTGAN,"(24, 12)",CPU,0.1706
CTGAN,"(24, 12)",CPU,0.1703
CTGAN,"(24, 12)",CPU,0.1707
CTGAN,"(24, 12)",CPU,0.1713
CTGAN,"(24, 12)",CPU,0.17
CTGAN,"(24, 12)",CPU,0.1703
CTGAN,"(24, 12)",CPU,0.1708
CTGAN,"(24, 12)",CPU,0.1713
CTGAN,"(24, 12)",CPU,0.1697
CTGAN,"(24, 12)",CPU,0.1701
CTGAN,"(24, 12)",CPU,0.1713
CTGAN,"(24, 12)",CPU,0.1698
CTGAN,"(24, 12)",CPU,0.1703
CTGAN,"(24, 12)",CPU,0.1704
CTGAN,"(24, 12)",CPU,0.171
CTGAN,"(24, 12)",CPU,0.1699
CTGAN,"(24, 12)",CPU,0.1702
CTGAN,"(24, 12)",CPU,0.1714
CTGAN,"(24, 12)",CPU,0.1709
CTGAN,"(24, 12)",CPU,0.1709
CTGAN,"(24, 12)",CPU,0.1705
CTGAN,"(24, 12)",CPU,0.1708
CTGAN,"(24, 12)",CPU,0.1699
CTGAN,"(24, 12)",CPU,0.1701
CTGAN,"(24, 12)",CPU,0.1713
CTGAN,"(24, 12)",CPU,0.1699
CTGAN,"(24, 12)",CPU,0.1709
CTGAN,"(24, 12)",CPU,0.1703
CTGAN,"(24, 12)",CPU,0.1712
CTGAN,"(24, 12)",CPU,0.1698
CTGAN,"(24, 12)",CPU,0.1695
CTGAN,"(24, 12)",CPU,0.1708
CTGAN,"(24, 12)",CPU,0.1695
CTGAN,"(24, 12)",CPU,0.1698
CTGAN,"(24, 12)",CPU,0.1698
CTGAN,"(24, 12)",CPU,0.1708
CTGAN,"(24, 12)",CPU,0.1694
CTGAN,"(24, 12)",CPU,0.1716
CTGAN,"(24, 12)",CPU,0.1712
CTGAN,"(24, 12)",CPU,0.1697
CTGAN,"(24, 12)",CPU,0.1701
CTGAN,"(24, 12)",CPU,0.1696
CTGAN,"(24, 12)",CPU,0.1713
CTGAN,"(24, 12)",CPU,0.1704
CTGAN,"(24, 12)",CPU,0.1706
CTGAN,"(24, 12)",CPU,0.171
CTGAN,"(24, 12)",CPU,0.1703
CTGAN,"(24, 12)",CPU,0.1712
CTGAN,"(24, 12)",CPU,0.1703
CTGAN,"(24, 12)",CPU,0.1708
CTGAN,"(24, 12)",CPU,0.1699
CTGAN,"(24, 12)",CPU,0.1699
CTGAN,"(24, 12)",CPU,0.1704
CTGAN,"(24, 12)",CPU,0.1704
CTGAN,"(24, 12)",CPU,0.1711
CTGAN,"(24, 12)",CPU,0.1697
CTGAN,"(24, 12)",CPU,0.1704
CTGAN,"(24, 12)",CPU,0.1698
CTGAN,"(24, 12)",CPU,0.1698
CTGAN,"(24, 12)",CPU,0.171
CTGAN,"(24, 12)",CPU,0.1704
CTGAN,"(24, 12)",CPU,0.1698
CTGAN,"(24, 12)",CPU,0.1697
