Model,Architecture,Device,Time_seconds
CTGAN,"(64, 32)",CUDA,0.2753
CTGAN,"(64, 32)",CUDA,0.2555
CTGAN,"(64, 32)",CUDA,0.2507
CTGAN,"(64, 32)",CUDA,0.2814
CTGAN,"(64, 32)",CUDA,0.2568
CTGAN,"(64, 32)",CUDA,0.3285
CTGAN,"(64, 32)",CUDA,0.2965
CTGAN,"(64, 32)",CUDA,0.3093
CTGAN,"(64, 32)",CUDA,0.3063
CTGAN,"(64, 32)",CUDA,0.2746
CTGAN,"(64, 32)",CUDA,0.291
CTGAN,"(64, 32)",CUDA,0.2593
CTGAN,"(64, 32)",CUDA,0.2581
CTGAN,"(64, 32)",CUDA,0.2795
CTGAN,"(64, 32)",CUDA,0.3214
CTGAN,"(64, 32)",CUDA,0.2861
CTGAN,"(64, 32)",CUDA,0.2466
CTGAN,"(64, 32)",CUDA,0.2696
CTGAN,"(64, 32)",CUDA,0.257
CTGAN,"(64, 32)",CUDA,0.2438
CTGAN,"(64, 32)",CUDA,0.2583
CTGAN,"(64, 32)",CUDA,0.2456
CTGAN,"(64, 32)",CUDA,0.2677
CTGAN,"(64, 32)",CUDA,0.2535
CTGAN,"(64, 32)",CUDA,0.2562
CTGAN,"(64, 32)",CUDA,0.251
CTGAN,"(64, 32)",CUDA,0.2822
CTGAN,"(64, 32)",CUDA,0.2508
CTGAN,"(64, 32)",CUDA,0.2452
CTGAN,"(64, 32)",CUDA,0.2466
CTGAN,"(64, 32)",CUDA,0.2708
CTGAN,"(64, 32)",CUDA,0.2431
CTGAN,"(64, 32)",CUDA,0.2417
CTGAN,"(64, 32)",CUDA,0.242
CTGAN,"(64, 32)",CUDA,0.27
CTGAN,"(64, 32)",CUDA,0.2448
CTGAN,"(64, 32)",CUDA,0.2441
CTGAN,"(64, 32)",CUDA,0.2429
CTGAN,"(64, 32)",CUDA,0.2427
CTGAN,"(64, 32)",CUDA,0.2725
CTGAN,"(64, 32)",CUDA,0.2498
CTGAN,"(64, 32)",CUDA,0.2478
CTGAN,"(64, 32)",CUDA,0.2499
CTGAN,"(64, 32)",CUDA,0.2853
CTGAN,"(64, 32)",CUDA,0.2463
CTGAN,"(64, 32)",CUDA,0.2474
CTGAN,"(64, 32)",CUDA,0.2503
CTGAN,"(64, 32)",CUDA,0.2809
CTGAN,"(64, 32)",CUDA,0.2449
CTGAN,"(64, 32)",CUDA,0.2469
CTGAN,"(64, 32)",CUDA,0.2453
CTGAN,"(64, 32)",CUDA,0.2699
CTGAN,"(64, 32)",CUDA,0.2431
CTGAN,"(64, 32)",CUDA,0.2491
CTGAN,"(64, 32)",CUDA,0.2519
CTGAN,"(64, 32)",CUDA,0.2724
CTGAN,"(64, 32)",CUDA,0.2444
CTGAN,"(64, 32)",CUDA,0.2494
CTGAN,"(64, 32)",CUDA,0.2497
CTGAN,"(64, 32)",CUDA,0.2477
CTGAN,"(64, 32)",CUDA,0.2755
CTGAN,"(64, 32)",CUDA,0.2422
CTGAN,"(64, 32)",CUDA,0.245
CTGAN,"(64, 32)",CUDA,0.2454
CTGAN,"(64, 32)",CUDA,0.2448
CTGAN,"(64, 32)",CUDA,0.2764
CTGAN,"(64, 32)",CUDA,0.2491
CTGAN,"(64, 32)",CUDA,0.2511
CTGAN,"(64, 32)",CUDA,0.251
CTGAN,"(64, 32)",CUDA,0.2741
CTGAN,"(64, 32)",CUDA,0.2494
CTGAN,"(64, 32)",CUDA,0.2457
CTGAN,"(64, 32)",CUDA,0.2499
CTGAN,"(64, 32)",CUDA,0.2418
CTGAN,"(64, 32)",CUDA,0.2719
CTGAN,"(64, 32)",CUDA,0.2453
CTGAN,"(64, 32)",CUDA,0.2455
CTGAN,"(64, 32)",CUDA,0.2461
CTGAN,"(64, 32)",CUDA,0.2663
CTGAN,"(64, 32)",CUDA,0.2412
CTGAN,"(64, 32)",CUDA,0.2436
CTGAN,"(64, 32)",CUDA,0.2412
CTGAN,"(64, 32)",CUDA,0.2677
CTGAN,"(64, 32)",CUDA,0.2405
CTGAN,"(64, 32)",CUDA,0.2472
CTGAN,"(64, 32)",CUDA,0.2425
CTGAN,"(64, 32)",CUDA,0.2734
CTGAN,"(64, 32)",CUDA,0.2421
CTGAN,"(64, 32)",CUDA,0.2462
CTGAN,"(64, 32)",CUDA,0.2468
CTGAN,"(64, 32)",CUDA,0.2478
CTGAN,"(64, 32)",CUDA,0.2714
CTGAN,"(64, 32)",CUDA,0.2478
CTGAN,"(64, 32)",CUDA,0.2496
CTGAN,"(64, 32)",CUDA,0.2515
