Model,Architecture,Device,Time_seconds
CTGAN,"(10, 5)",CPU,0.2197
CTGAN,"(10, 5)",CPU,0.1692
CTGAN,"(10, 5)",CPU,0.1925
CTGAN,"(10, 5)",CPU,0.1614
CTGAN,"(10, 5)",CPU,0.1588
CTGAN,"(10, 5)",CPU,0.1614
CTGAN,"(10, 5)",CPU,0.1603
CTGAN,"(10, 5)",CPU,0.1635
CTGAN,"(10, 5)",CPU,0.1579
CTGAN,"(10, 5)",CPU,0.16
CTGAN,"(10, 5)",CPU,0.1559
CTGAN,"(10, 5)",CPU,0.1584
CTGAN,"(10, 5)",CPU,0.156
CTGAN,"(10, 5)",CPU,0.1577
CTGAN,"(10, 5)",CPU,0.1576
CTGAN,"(10, 5)",CPU,0.1578
CTGAN,"(10, 5)",CPU,0.1569
CTGAN,"(10, 5)",CPU,0.1574
CTGAN,"(10, 5)",CPU,0.159
CTGAN,"(10, 5)",CPU,0.1572
CTGAN,"(10, 5)",CPU,0.158
CTGAN,"(10, 5)",CPU,0.1569
CTGAN,"(10, 5)",CPU,0.1577
CTGAN,"(10, 5)",CPU,0.1566
CTGAN,"(10, 5)",CPU,0.1565
CTGAN,"(10, 5)",CPU,0.1569
CTGAN,"(10, 5)",CPU,0.1574
CTGAN,"(10, 5)",CPU,0.1577
CTGAN,"(10, 5)",CPU,0.1554
CTGAN,"(10, 5)",CPU,0.1591
CTGAN,"(10, 5)",CPU,0.156
CTGAN,"(10, 5)",CPU,0.1553
CTGAN,"(10, 5)",CPU,0.156
CTGAN,"(10, 5)",CPU,0.1606
CTGAN,"(10, 5)",CPU,0.1568
CTGAN,"(10, 5)",CPU,0.1568
CTGAN,"(10, 5)",CPU,0.1566
CTGAN,"(10, 5)",CPU,0.1596
CTGAN,"(10, 5)",CPU,0.1565
CTGAN,"(10, 5)",CPU,0.1562
CTGAN,"(10, 5)",CPU,0.1557
CTGAN,"(10, 5)",CPU,0.1573
CTGAN,"(10, 5)",CPU,0.1561
CTGAN,"(10, 5)",CPU,0.1571
CTGAN,"(10, 5)",CPU,0.1601
CTGAN,"(10, 5)",CPU,0.1567
CTGAN,"(10, 5)",CPU,0.1567
CTGAN,"(10, 5)",CPU,0.1563
CTGAN,"(10, 5)",CPU,0.1588
CTGAN,"(10, 5)",CPU,0.1574
CTGAN,"(10, 5)",CPU,0.1935
CTGAN,"(10, 5)",CPU,0.1816
CTGAN,"(10, 5)",CPU,0.1669
CTGAN,"(10, 5)",CPU,0.1661
CTGAN,"(10, 5)",CPU,0.1625
CTGAN,"(10, 5)",CPU,0.1605
CTGAN,"(10, 5)",CPU,0.1628
CTGAN,"(10, 5)",CPU,0.1581
CTGAN,"(10, 5)",CPU,0.1904
CTGAN,"(10, 5)",CPU,0.16
CTGAN,"(10, 5)",CPU,0.1578
CTGAN,"(10, 5)",CPU,0.1599
CTGAN,"(10, 5)",CPU,0.1574
CTGAN,"(10, 5)",CPU,0.1634
CTGAN,"(10, 5)",CPU,0.1724
CTGAN,"(10, 5)",CPU,0.1947
CTGAN,"(10, 5)",CPU,0.175
CTGAN,"(10, 5)",CPU,0.1599
CTGAN,"(10, 5)",CPU,0.1662
CTGAN,"(10, 5)",CPU,0.161
CTGAN,"(10, 5)",CPU,0.1676
CTGAN,"(10, 5)",CPU,0.2
CTGAN,"(10, 5)",CPU,0.1594
CTGAN,"(10, 5)",CPU,0.1682
CTGAN,"(10, 5)",CPU,0.1583
CTGAN,"(10, 5)",CPU,0.1605
CTGAN,"(10, 5)",CPU,0.1587
CTGAN,"(10, 5)",CPU,0.1931
CTGAN,"(10, 5)",CPU,0.1695
CTGAN,"(10, 5)",CPU,0.1841
CTGAN,"(10, 5)",CPU,0.1683
CTGAN,"(10, 5)",CPU,0.1681
CTGAN,"(10, 5)",CPU,0.1806
CTGAN,"(10, 5)",CPU,0.1989
CTGAN,"(10, 5)",CPU,0.1652
CTGAN,"(10, 5)",CPU,0.1638
CTGAN,"(10, 5)",CPU,0.1569
CTGAN,"(10, 5)",CPU,0.1659
CTGAN,"(10, 5)",CPU,0.1626
CTGAN,"(10, 5)",CPU,0.1596
CTGAN,"(10, 5)",CPU,0.1582
CTGAN,"(10, 5)",CPU,0.1584
CTGAN,"(10, 5)",CPU,0.1626
CTGAN,"(10, 5)",CPU,0.159
CTGAN,"(10, 5)",CPU,0.1587
CTGAN,"(10, 5)",CPU,0.1582
CTGAN,"(10, 5)",CPU,0.1586
CTGAN,"(10, 5)",CPU,0.1617
CTGAN,"(10, 5)",CPU,0.1578
CTGAN,"(10, 5)",CPU,0.1583
CTGAN,"(10, 5)",CPU,0.1594
CTGAN,"(10, 5)",CPU,0.159
CTGAN,"(10, 5)",CPU,0.1584
CTGAN,"(10, 5)",CPU,0.1579
CTGAN,"(10, 5)",CPU,0.1586
CTGAN,"(10, 5)",CPU,0.1581
CTGAN,"(10, 5)",CPU,0.1592
CTGAN,"(10, 5)",CPU,0.1592
CTGAN,"(10, 5)",CPU,0.1583
CTGAN,"(10, 5)",CPU,0.1581
CTGAN,"(10, 5)",CPU,0.158
CTGAN,"(10, 5)",CPU,0.2016
CTGAN,"(10, 5)",CPU,0.1623
CTGAN,"(10, 5)",CPU,0.1637
CTGAN,"(10, 5)",CPU,0.1565
CTGAN,"(10, 5)",CPU,0.1656
CTGAN,"(10, 5)",CPU,0.1797
CTGAN,"(10, 5)",CPU,0.2094
CTGAN,"(10, 5)",CPU,0.2045
CTGAN,"(10, 5)",CPU,0.1773
CTGAN,"(10, 5)",CPU,0.191
CTGAN,"(10, 5)",CPU,0.1852
CTGAN,"(10, 5)",CPU,0.1788
CTGAN,"(10, 5)",CPU,0.233
CTGAN,"(10, 5)",CPU,0.2401
CTGAN,"(10, 5)",CPU,0.2014
CTGAN,"(10, 5)",CPU,0.1895
CTGAN,"(10, 5)",CPU,0.2181
CTGAN,"(10, 5)",CPU,0.1879
CTGAN,"(10, 5)",CPU,0.1767
CTGAN,"(10, 5)",CPU,0.1839
CTGAN,"(10, 5)",CPU,0.2476
CTGAN,"(10, 5)",CPU,0.2416
CTGAN,"(10, 5)",CPU,0.2613
CTGAN,"(10, 5)",CPU,0.2024
CTGAN,"(10, 5)",CPU,0.1969
CTGAN,"(10, 5)",CPU,0.2103
CTGAN,"(10, 5)",CPU,0.2207
CTGAN,"(10, 5)",CPU,0.166
CTGAN,"(10, 5)",CPU,0.1744
CTGAN,"(10, 5)",CPU,0.1668
CTGAN,"(10, 5)",CPU,0.162
CTGAN,"(10, 5)",CPU,0.1781
CTGAN,"(10, 5)",CPU,0.1589
CTGAN,"(10, 5)",CPU,0.2041
CTGAN,"(10, 5)",CPU,0.1665
CTGAN,"(10, 5)",CPU,0.1763
CTGAN,"(10, 5)",CPU,0.1638
CTGAN,"(10, 5)",CPU,0.1838
CTGAN,"(10, 5)",CPU,0.1766
CTGAN,"(10, 5)",CPU,0.2144
CTGAN,"(10, 5)",CPU,0.1748
CTGAN,"(10, 5)",CPU,0.1653
CTGAN,"(10, 5)",CPU,0.1828
CTGAN,"(10, 5)",CPU,0.2057
CTGAN,"(10, 5)",CPU,0.204
CTGAN,"(10, 5)",CPU,0.2028
CTGAN,"(10, 5)",CPU,0.1617
CTGAN,"(10, 5)",CPU,0.1947
CTGAN,"(10, 5)",CPU,0.2111
CTGAN,"(10, 5)",CPU,0.2064
CTGAN,"(10, 5)",CPU,0.1983
CTGAN,"(10, 5)",CPU,0.1606
CTGAN,"(10, 5)",CPU,0.1581
CTGAN,"(10, 5)",CPU,0.1913
CTGAN,"(10, 5)",CPU,0.2079
CTGAN,"(10, 5)",CPU,0.2144
CTGAN,"(10, 5)",CPU,0.1595
CTGAN,"(10, 5)",CPU,0.1758
CTGAN,"(10, 5)",CPU,0.1841
CTGAN,"(10, 5)",CPU,0.1845
CTGAN,"(10, 5)",CPU,0.1725
CTGAN,"(10, 5)",CPU,0.2085
CTGAN,"(10, 5)",CPU,0.2133
CTGAN,"(10, 5)",CPU,0.2121
CTGAN,"(10, 5)",CPU,0.1862
CTGAN,"(10, 5)",CPU,0.2186
CTGAN,"(10, 5)",CPU,0.2309
CTGAN,"(10, 5)",CPU,0.208
CTGAN,"(10, 5)",CPU,0.2243
CTGAN,"(10, 5)",CPU,0.2218
CTGAN,"(10, 5)",CPU,0.1783
CTGAN,"(10, 5)",CPU,0.2113
CTGAN,"(10, 5)",CPU,0.2163
CTGAN,"(10, 5)",CPU,0.1696
CTGAN,"(10, 5)",CPU,0.1644
CTGAN,"(10, 5)",CPU,0.1898
CTGAN,"(10, 5)",CPU,0.1799
CTGAN,"(10, 5)",CPU,0.2175
CTGAN,"(10, 5)",CPU,0.1748
CTGAN,"(10, 5)",CPU,0.1606
CTGAN,"(10, 5)",CPU,0.1617
CTGAN,"(10, 5)",CPU,0.178
CTGAN,"(10, 5)",CPU,0.1801
CTGAN,"(10, 5)",CPU,0.1734
CTGAN,"(10, 5)",CPU,0.1813
CTGAN,"(10, 5)",CPU,0.1809
CTGAN,"(10, 5)",CPU,0.1632
CTGAN,"(10, 5)",CPU,0.1618
CTGAN,"(10, 5)",CPU,0.1929
CTGAN,"(10, 5)",CPU,0.1573
CTGAN,"(10, 5)",CPU,0.1591
CTGAN,"(10, 5)",CPU,0.1762
CTGAN,"(10, 5)",CPU,0.1752
CTGAN,"(10, 5)",CPU,0.1579
CTGAN,"(10, 5)",CPU,0.1578
CTGAN,"(10, 5)",CPU,0.1591
CTGAN,"(10, 5)",CPU,0.158
CTGAN,"(10, 5)",CPU,0.1574
CTGAN,"(10, 5)",CPU,0.1582
CTGAN,"(10, 5)",CPU,0.1609
CTGAN,"(10, 5)",CPU,0.1578
CTGAN,"(10, 5)",CPU,0.1575
CTGAN,"(10, 5)",CPU,0.1605
CTGAN,"(10, 5)",CPU,0.1574
CTGAN,"(10, 5)",CPU,0.1578
CTGAN,"(10, 5)",CPU,0.1576
CTGAN,"(10, 5)",CPU,0.1611
CTGAN,"(10, 5)",CPU,0.1579
CTGAN,"(10, 5)",CPU,0.1576
CTGAN,"(10, 5)",CPU,0.1562
CTGAN,"(10, 5)",CPU,0.1566
CTGAN,"(10, 5)",CPU,0.1564
CTGAN,"(10, 5)",CPU,0.1556
CTGAN,"(10, 5)",CPU,0.1559
CTGAN,"(10, 5)",CPU,0.157
CTGAN,"(10, 5)",CPU,0.1566
CTGAN,"(10, 5)",CPU,0.1564
CTGAN,"(10, 5)",CPU,0.1566
CTGAN,"(10, 5)",CPU,0.1571
CTGAN,"(10, 5)",CPU,0.1572
CTGAN,"(10, 5)",CPU,0.157
CTGAN,"(10, 5)",CPU,0.1625
CTGAN,"(10, 5)",CPU,0.1567
CTGAN,"(10, 5)",CPU,0.1568
CTGAN,"(10, 5)",CPU,0.1565
CTGAN,"(10, 5)",CPU,0.1576
CTGAN,"(10, 5)",CPU,0.158
CTGAN,"(10, 5)",CPU,0.1578
CTGAN,"(10, 5)",CPU,0.1581
CTGAN,"(10, 5)",CPU,0.1579
CTGAN,"(10, 5)",CPU,0.1577
CTGAN,"(10, 5)",CPU,0.1576
CTGAN,"(10, 5)",CPU,0.161
CTGAN,"(10, 5)",CPU,0.1587
CTGAN,"(10, 5)",CPU,0.1637
CTGAN,"(10, 5)",CPU,0.1588
CTGAN,"(10, 5)",CPU,0.1623
CTGAN,"(10, 5)",CPU,0.1558
CTGAN,"(10, 5)",CPU,0.156
CTGAN,"(10, 5)",CPU,0.1561
CTGAN,"(10, 5)",CPU,0.1565
CTGAN,"(10, 5)",CPU,0.156
CTGAN,"(10, 5)",CPU,0.1564
CTGAN,"(10, 5)",CPU,0.1571
CTGAN,"(10, 5)",CPU,0.1567
CTGAN,"(10, 5)",CPU,0.1559
CTGAN,"(10, 5)",CPU,0.1557
CTGAN,"(10, 5)",CPU,0.1597
CTGAN,"(10, 5)",CPU,0.1579
CTGAN,"(10, 5)",CPU,0.1582
CTGAN,"(10, 5)",CPU,0.1579
CTGAN,"(10, 5)",CPU,0.1585
CTGAN,"(10, 5)",CPU,0.1582
CTGAN,"(10, 5)",CPU,0.1575
CTGAN,"(10, 5)",CPU,0.1575
CTGAN,"(10, 5)",CPU,0.1604
CTGAN,"(10, 5)",CPU,0.1577
CTGAN,"(10, 5)",CPU,0.1573
CTGAN,"(10, 5)",CPU,0.1593
CTGAN,"(10, 5)",CPU,0.1575
CTGAN,"(10, 5)",CPU,0.158
CTGAN,"(10, 5)",CPU,0.1581
CTGAN,"(10, 5)",CPU,0.1599
CTGAN,"(10, 5)",CPU,0.1922
CTGAN,"(10, 5)",CPU,0.1573
CTGAN,"(10, 5)",CPU,0.1701
CTGAN,"(10, 5)",CPU,0.1644
CTGAN,"(10, 5)",CPU,0.1604
CTGAN,"(10, 5)",CPU,0.1627
CTGAN,"(10, 5)",CPU,0.158
CTGAN,"(10, 5)",CPU,0.183
CTGAN,"(10, 5)",CPU,0.1746
CTGAN,"(10, 5)",CPU,0.1564
CTGAN,"(10, 5)",CPU,0.1771
CTGAN,"(10, 5)",CPU,0.1785
CTGAN,"(10, 5)",CPU,0.1568
CTGAN,"(10, 5)",CPU,0.2034
CTGAN,"(10, 5)",CPU,0.1669
CTGAN,"(10, 5)",CPU,0.1563
CTGAN,"(10, 5)",CPU,0.1917
CTGAN,"(10, 5)",CPU,0.1589
CTGAN,"(10, 5)",CPU,0.1806
CTGAN,"(10, 5)",CPU,0.1625
CTGAN,"(10, 5)",CPU,0.1582
CTGAN,"(10, 5)",CPU,0.1576
CTGAN,"(10, 5)",CPU,0.1614
CTGAN,"(10, 5)",CPU,0.2011
CTGAN,"(10, 5)",CPU,0.1575
CTGAN,"(10, 5)",CPU,0.1582
CTGAN,"(10, 5)",CPU,0.1863
CTGAN,"(10, 5)",CPU,0.1579
CTGAN,"(10, 5)",CPU,0.1581
CTGAN,"(10, 5)",CPU,0.1582
CTGAN,"(10, 5)",CPU,0.1564
CTGAN,"(10, 5)",CPU,0.156
CTGAN,"(10, 5)",CPU,0.1595
CTGAN,"(10, 5)",CPU,0.1803
CTGAN,"(10, 5)",CPU,0.1828
CTGAN,"(10, 5)",CPU,0.1566
CTGAN,"(10, 5)",CPU,0.16
CTGAN,"(10, 5)",CPU,0.1579
CTGAN,"(10, 5)",CPU,0.1569
CTGAN,"(10, 5)",CPU,0.1566
CTGAN,"(10, 5)",CPU,0.1599
CTGAN,"(10, 5)",CPU,0.1563
CTGAN,"(10, 5)",CPU,0.1566
CTGAN,"(10, 5)",CPU,0.1739
CTGAN,"(10, 5)",CPU,0.2332
CTGAN,"(10, 5)",CPU,0.1777
CTGAN,"(10, 5)",CPU,0.1582
CTGAN,"(10, 5)",CPU,0.18
CTGAN,"(10, 5)",CPU,0.1577
CTGAN,"(10, 5)",CPU,0.1871
CTGAN,"(10, 5)",CPU,0.1586
CTGAN,"(10, 5)",CPU,0.1578
CTGAN,"(10, 5)",CPU,0.1584
CTGAN,"(10, 5)",CPU,0.1579
CTGAN,"(10, 5)",CPU,0.1607
CTGAN,"(10, 5)",CPU,0.1579
CTGAN,"(10, 5)",CPU,0.1574
CTGAN,"(10, 5)",CPU,0.1574
CTGAN,"(10, 5)",CPU,0.2119
CTGAN,"(10, 5)",CPU,0.1628
