Model,Architecture,Device,Time_seconds
CTGAN,"(32, 16)",CUDA,0.3131
CTGAN,"(32, 16)",CUDA,0.3047
CTGAN,"(32, 16)",CUDA,0.3017
CTGAN,"(32, 16)",CUDA,0.3047
CTGAN,"(32, 16)",CUDA,0.3011
CTGAN,"(32, 16)",CUDA,0.2998
CTGAN,"(32, 16)",CUDA,0.2992
CTGAN,"(32, 16)",CUDA,0.297
CTGAN,"(32, 16)",CUDA,0.296
CTGAN,"(32, 16)",CUDA,0.2997
CTGAN,"(32, 16)",CUDA,0.2957
CTGAN,"(32, 16)",CUDA,0.2984
CTGAN,"(32, 16)",CUDA,0.298
CTGAN,"(32, 16)",CUDA,0.3009
CTGAN,"(32, 16)",CUDA,0.2966
CTGAN,"(32, 16)",CUDA,0.2989
CTGAN,"(32, 16)",CUDA,0.2977
CTGAN,"(32, 16)",CUDA,0.2955
CTGAN,"(32, 16)",CUDA,0.2972
CTGAN,"(32, 16)",CUDA,0.3
CTGAN,"(32, 16)",CUDA,0.2981
CTGAN,"(32, 16)",CUDA,0.2961
CTGAN,"(32, 16)",CUDA,0.2975
CTGAN,"(32, 16)",CUDA,0.2988
CTGAN,"(32, 16)",CUDA,0.2978
CTGAN,"(32, 16)",CUDA,0.3003
CTGAN,"(32, 16)",CUDA,0.2992
CTGAN,"(32, 16)",CUDA,0.3005
CTGAN,"(32, 16)",CUDA,0.2967
CTGAN,"(32, 16)",CUDA,0.2993
CTGAN,"(32, 16)",CUDA,0.2962
CTGAN,"(32, 16)",CUDA,0.2994
CTGAN,"(32, 16)",CUDA,0.2968
CTGAN,"(32, 16)",CUDA,0.2984
CTGAN,"(32, 16)",CUDA,0.2987
CTGAN,"(32, 16)",CUDA,0.2972
CTGAN,"(32, 16)",CUDA,0.3011
CTGAN,"(32, 16)",CUDA,0.3003
CTGAN,"(32, 16)",CUDA,0.299
CTGAN,"(32, 16)",CUDA,0.2986
CTGAN,"(32, 16)",CUDA,0.297
CTGAN,"(32, 16)",CUDA,0.2996
CTGAN,"(32, 16)",CUDA,0.2943
CTGAN,"(32, 16)",CUDA,0.2985
CTGAN,"(32, 16)",CUDA,0.2986
CTGAN,"(32, 16)",CUDA,0.2976
CTGAN,"(32, 16)",CUDA,0.298
CTGAN,"(32, 16)",CUDA,0.3001
CTGAN,"(32, 16)",CUDA,0.2992
CTGAN,"(32, 16)",CUDA,0.2985
CTGAN,"(32, 16)",CUDA,0.2972
CTGAN,"(32, 16)",CUDA,0.3011
CTGAN,"(32, 16)",CUDA,0.2982
CTGAN,"(32, 16)",CUDA,0.2983
CTGAN,"(32, 16)",CUDA,0.2995
CTGAN,"(32, 16)",CUDA,0.2982
CTGAN,"(32, 16)",CUDA,0.2994
CTGAN,"(32, 16)",CUDA,0.2957
CTGAN,"(32, 16)",CUDA,0.2974
CTGAN,"(32, 16)",CUDA,0.2985
CTGAN,"(32, 16)",CUDA,0.2952
CTGAN,"(32, 16)",CUDA,0.298
CTGAN,"(32, 16)",CUDA,0.3071
CTGAN,"(32, 16)",CUDA,0.31
CTGAN,"(32, 16)",CUDA,0.317
CTGAN,"(32, 16)",CUDA,0.3905
CTGAN,"(32, 16)",CUDA,0.3138
CTGAN,"(32, 16)",CUDA,0.2692
CTGAN,"(32, 16)",CUDA,0.2847
CTGAN,"(32, 16)",CUDA,0.2703
CTGAN,"(32, 16)",CUDA,0.2673
CTGAN,"(32, 16)",CUDA,0.2551
CTGAN,"(32, 16)",CUDA,0.289
CTGAN,"(32, 16)",CUDA,0.2784
CTGAN,"(32, 16)",CUDA,0.2705
CTGAN,"(32, 16)",CUDA,0.2595
CTGAN,"(32, 16)",CUDA,0.3014
CTGAN,"(32, 16)",CUDA,0.2517
CTGAN,"(32, 16)",CUDA,0.2664
CTGAN,"(32, 16)",CUDA,0.2523
CTGAN,"(32, 16)",CUDA,0.2868
CTGAN,"(32, 16)",CUDA,0.2601
CTGAN,"(32, 16)",CUDA,0.2586
CTGAN,"(32, 16)",CUDA,0.2534
CTGAN,"(32, 16)",CUDA,0.3077
