Model,Architecture,Device,Time_seconds
TVAE,"(32, 16)",CPU,0.4542
TVAE,"(32, 16)",CPU,0.5004
TVAE,"(32, 16)",CPU,0.596
TVAE,"(32, 16)",CPU,0.5151
TVAE,"(32, 16)",CPU,0.3793
TVAE,"(32, 16)",CPU,0.4528
TVAE,"(32, 16)",CPU,0.463
TVAE,"(32, 16)",CPU,0.5059
TVAE,"(32, 16)",CPU,0.538
TVAE,"(32, 16)",CPU,0.4397
TVAE,"(32, 16)",CPU,0.4294
TVAE,"(32, 16)",CPU,0.4991
TVAE,"(32, 16)",CPU,0.4864
TVAE,"(32, 16)",CPU,0.3958
TVAE,"(32, 16)",CPU,0.5952
TVAE,"(32, 16)",CPU,0.4781
TVAE,"(32, 16)",CPU,0.4328
TVAE,"(32, 16)",CPU,0.3629
TVAE,"(32, 16)",CPU,0.3543
TVAE,"(32, 16)",CPU,0.3646
TVAE,"(32, 16)",CPU,0.4052
TVAE,"(32, 16)",CPU,0.3392
TVAE,"(32, 16)",CPU,0.6043
TVAE,"(32, 16)",CPU,0.5174
TVAE,"(32, 16)",CPU,0.4519
TVAE,"(32, 16)",CPU,0.5048
TVAE,"(32, 16)",CPU,0.488
TVAE,"(32, 16)",CPU,0.3917
TVAE,"(32, 16)",CPU,0.4459
TVAE,"(32, 16)",CPU,0.4676
TVAE,"(32, 16)",CPU,0.3622
TVAE,"(32, 16)",CPU,0.4811
TVAE,"(32, 16)",CPU,0.5057
TVAE,"(32, 16)",CPU,0.5046
TVAE,"(32, 16)",CPU,0.8037
TVAE,"(32, 16)",CPU,0.616
TVAE,"(32, 16)",CPU,0.3102
TVAE,"(32, 16)",CPU,0.5455
TVAE,"(32, 16)",CPU,0.8682
TVAE,"(32, 16)",CPU,0.5664
TVAE,"(32, 16)",CPU,0.5323
TVAE,"(32, 16)",CPU,0.6434
TVAE,"(32, 16)",CPU,0.9801
TVAE,"(32, 16)",CPU,0.5932
TVAE,"(32, 16)",CPU,0.4473
TVAE,"(32, 16)",CPU,0.5398
TVAE,"(32, 16)",CPU,0.8424
TVAE,"(32, 16)",CPU,0.6394
TVAE,"(32, 16)",CPU,0.5192
TVAE,"(32, 16)",CPU,0.32
TVAE,"(32, 16)",CPU,0.549
TVAE,"(32, 16)",CPU,0.4843
TVAE,"(32, 16)",CPU,0.3858
TVAE,"(32, 16)",CPU,0.3231
TVAE,"(32, 16)",CPU,0.3742
TVAE,"(32, 16)",CPU,0.6805
TVAE,"(32, 16)",CPU,0.4334
TVAE,"(32, 16)",CPU,0.5572
TVAE,"(32, 16)",CPU,0.5101
TVAE,"(32, 16)",CPU,0.3663
TVAE,"(32, 16)",CPU,0.3837
TVAE,"(32, 16)",CPU,0.441
TVAE,"(32, 16)",CPU,0.6167
TVAE,"(32, 16)",CPU,0.4991
TVAE,"(32, 16)",CPU,0.4868
TVAE,"(32, 16)",CPU,0.6224
TVAE,"(32, 16)",CPU,0.3612
TVAE,"(32, 16)",CPU,0.2845
TVAE,"(32, 16)",CPU,0.3053
TVAE,"(32, 16)",CPU,0.3389
TVAE,"(32, 16)",CPU,0.2977
TVAE,"(32, 16)",CPU,0.2804
TVAE,"(32, 16)",CPU,0.3447
TVAE,"(32, 16)",CPU,0.258
TVAE,"(32, 16)",CPU,0.2447
TVAE,"(32, 16)",CPU,0.2623
TVAE,"(32, 16)",CPU,0.2915
