Model,Architecture,Device,Time_seconds
CTGAN,"(24, 12)",CPU,0.0929
CTGAN,"(24, 12)",CPU,0.0712
CTGAN,"(24, 12)",CPU,0.0553
CTGAN,"(24, 12)",CPU,0.0586
CTGAN,"(24, 12)",CPU,0.0548
CTGAN,"(24, 12)",CPU,0.0563
CTGAN,"(24, 12)",CPU,0.0534
CTGAN,"(24, 12)",CPU,0.0534
CTGAN,"(24, 12)",CPU,0.0552
CTGAN,"(24, 12)",CPU,0.054
CTGAN,"(24, 12)",CPU,0.0559
CTGAN,"(24, 12)",CPU,0.0547
CTGAN,"(24, 12)",CPU,0.0532
CTGAN,"(24, 12)",CPU,0.0529
CTGAN,"(24, 12)",CPU,0.0527
CTGAN,"(24, 12)",CPU,0.0532
CTGAN,"(24, 12)",CPU,0.0528
CTGAN,"(24, 12)",CPU,0.0535
CTGAN,"(24, 12)",CPU,0.0592
CTGAN,"(24, 12)",CPU,0.0551
CTGAN,"(24, 12)",CPU,0.053
CTGAN,"(24, 12)",CPU,0.0531
CTGAN,"(24, 12)",CPU,0.0537
CTGAN,"(24, 12)",CPU,0.0541
CTGAN,"(24, 12)",CPU,0.0538
CTGAN,"(24, 12)",CPU,0.0539
CTGAN,"(24, 12)",CPU,0.0537
CTGAN,"(24, 12)",CPU,0.0536
CTGAN,"(24, 12)",CPU,0.0541
CTGAN,"(24, 12)",CPU,0.0536
CTGAN,"(24, 12)",CPU,0.0539
CTGAN,"(24, 12)",CPU,0.055
CTGAN,"(24, 12)",CPU,0.0542
CTGAN,"(24, 12)",CPU,0.0537
CTGAN,"(24, 12)",CPU,0.0529
CTGAN,"(24, 12)",CPU,0.0552
CTGAN,"(24, 12)",CPU,0.0541
CTGAN,"(24, 12)",CPU,0.0558
CTGAN,"(24, 12)",CPU,0.0539
CTGAN,"(24, 12)",CPU,0.0542
CTGAN,"(24, 12)",CPU,0.0538
CTGAN,"(24, 12)",CPU,0.054
CTGAN,"(24, 12)",CPU,0.054
CTGAN,"(24, 12)",CPU,0.0538
CTGAN,"(24, 12)",CPU,0.0538
CTGAN,"(24, 12)",CPU,0.0539
CTGAN,"(24, 12)",CPU,0.0538
CTGAN,"(24, 12)",CPU,0.0543
CTGAN,"(24, 12)",CPU,0.0541
CTGAN,"(24, 12)",CPU,0.0543
CTGAN,"(24, 12)",CPU,0.0533
CTGAN,"(24, 12)",CPU,0.0523
CTGAN,"(24, 12)",CPU,0.0499
CTGAN,"(24, 12)",CPU,0.0636
CTGAN,"(24, 12)",CPU,0.0561
CTGAN,"(24, 12)",CPU,0.0594
CTGAN,"(24, 12)",CPU,0.0638
CTGAN,"(24, 12)",CPU,0.0524
CTGAN,"(24, 12)",CPU,0.0526
CTGAN,"(24, 12)",CPU,0.0527
CTGAN,"(24, 12)",CPU,0.0478
CTGAN,"(24, 12)",CPU,0.0462
CTGAN,"(24, 12)",CPU,0.0488
CTGAN,"(24, 12)",CPU,0.0465
CTGAN,"(24, 12)",CPU,0.0459
CTGAN,"(24, 12)",CPU,0.0459
CTGAN,"(24, 12)",CPU,0.0462
CTGAN,"(24, 12)",CPU,0.0464
CTGAN,"(24, 12)",CPU,0.0462
CTGAN,"(24, 12)",CPU,0.0465
CTGAN,"(24, 12)",CPU,0.0464
CTGAN,"(24, 12)",CPU,0.0466
CTGAN,"(24, 12)",CPU,0.0461
CTGAN,"(24, 12)",CPU,0.0465
CTGAN,"(24, 12)",CPU,0.0463
CTGAN,"(24, 12)",CPU,0.0486
CTGAN,"(24, 12)",CPU,0.0616
CTGAN,"(24, 12)",CPU,0.0493
CTGAN,"(24, 12)",CPU,0.0459
CTGAN,"(24, 12)",CPU,0.0462
CTGAN,"(24, 12)",CPU,0.0459
CTGAN,"(24, 12)",CPU,0.046
CTGAN,"(24, 12)",CPU,0.0459
CTGAN,"(24, 12)",CPU,0.0459
CTGAN,"(24, 12)",CPU,0.0462
CTGAN,"(24, 12)",CPU,0.0458
CTGAN,"(24, 12)",CPU,0.0618
CTGAN,"(24, 12)",CPU,0.0557
CTGAN,"(24, 12)",CPU,0.046
CTGAN,"(24, 12)",CPU,0.0457
CTGAN,"(24, 12)",CPU,0.0464
CTGAN,"(24, 12)",CPU,0.0462
CTGAN,"(24, 12)",CPU,0.046
CTGAN,"(24, 12)",CPU,0.0461
CTGAN,"(24, 12)",CPU,0.0459
CTGAN,"(24, 12)",CPU,0.0463
CTGAN,"(24, 12)",CPU,0.0462
CTGAN,"(24, 12)",CPU,0.0642
CTGAN,"(24, 12)",CPU,0.0636
CTGAN,"(24, 12)",CPU,0.0618
CTGAN,"(24, 12)",CPU,0.0548
CTGAN,"(24, 12)",CPU,0.0626
CTGAN,"(24, 12)",CPU,0.0543
CTGAN,"(24, 12)",CPU,0.0581
CTGAN,"(24, 12)",CPU,0.0642
CTGAN,"(24, 12)",CPU,0.0503
CTGAN,"(24, 12)",CPU,0.0467
CTGAN,"(24, 12)",CPU,0.047
CTGAN,"(24, 12)",CPU,0.052
CTGAN,"(24, 12)",CPU,0.052
CTGAN,"(24, 12)",CPU,0.0519
CTGAN,"(24, 12)",CPU,0.052
CTGAN,"(24, 12)",CPU,0.052
CTGAN,"(24, 12)",CPU,0.052
CTGAN,"(24, 12)",CPU,0.052
CTGAN,"(24, 12)",CPU,0.052
CTGAN,"(24, 12)",CPU,0.0519
CTGAN,"(24, 12)",CPU,0.052
CTGAN,"(24, 12)",CPU,0.0519
CTGAN,"(24, 12)",CPU,0.052
CTGAN,"(24, 12)",CPU,0.052
CTGAN,"(24, 12)",CPU,0.0608
CTGAN,"(24, 12)",CPU,0.0609
CTGAN,"(24, 12)",CPU,0.0531
CTGAN,"(24, 12)",CPU,0.0635
CTGAN,"(24, 12)",CPU,0.0518
CTGAN,"(24, 12)",CPU,0.0603
CTGAN,"(24, 12)",CPU,0.0624
CTGAN,"(24, 12)",CPU,0.0522
CTGAN,"(24, 12)",CPU,0.0633
CTGAN,"(24, 12)",CPU,0.0522
CTGAN,"(24, 12)",CPU,0.0594
CTGAN,"(24, 12)",CPU,0.062
CTGAN,"(24, 12)",CPU,0.0515
CTGAN,"(24, 12)",CPU,0.0636
CTGAN,"(24, 12)",CPU,0.0526
CTGAN,"(24, 12)",CPU,0.0591
CTGAN,"(24, 12)",CPU,0.0614
CTGAN,"(24, 12)",CPU,0.0576
CTGAN,"(24, 12)",CPU,0.0595
CTGAN,"(24, 12)",CPU,0.0542
CTGAN,"(24, 12)",CPU,0.0636
CTGAN,"(24, 12)",CPU,0.0515
CTGAN,"(24, 12)",CPU,0.0606
CTGAN,"(24, 12)",CPU,0.0618
CTGAN,"(24, 12)",CPU,0.0523
CTGAN,"(24, 12)",CPU,0.0636
CTGAN,"(24, 12)",CPU,0.0528
CTGAN,"(24, 12)",CPU,0.0595
CTGAN,"(24, 12)",CPU,0.0633
CTGAN,"(24, 12)",CPU,0.0516
CTGAN,"(24, 12)",CPU,0.0568
CTGAN,"(24, 12)",CPU,0.0631
CTGAN,"(24, 12)",CPU,0.0615
CTGAN,"(24, 12)",CPU,0.0551
CTGAN,"(24, 12)",CPU,0.0688
CTGAN,"(24, 12)",CPU,0.0592
CTGAN,"(24, 12)",CPU,0.0582
CTGAN,"(24, 12)",CPU,0.0642
CTGAN,"(24, 12)",CPU,0.0455
CTGAN,"(24, 12)",CPU,0.0458
CTGAN,"(24, 12)",CPU,0.0455
CTGAN,"(24, 12)",CPU,0.0468
CTGAN,"(24, 12)",CPU,0.0459
CTGAN,"(24, 12)",CPU,0.0459
CTGAN,"(24, 12)",CPU,0.0457
CTGAN,"(24, 12)",CPU,0.0462
