Model,Architecture,Device,Time_seconds
CTGAN,"(24, 12)",CUDA,0.1462
CTGAN,"(24, 12)",CUDA,0.1457
CTGAN,"(24, 12)",CUDA,0.1308
CTGAN,"(24, 12)",CUDA,0.1147
CTGAN,"(24, 12)",CUDA,0.1135
CTGAN,"(24, 12)",CUDA,0.113
CTGAN,"(24, 12)",CUDA,0.1304
CTGAN,"(24, 12)",CUDA,0.1122
CTGAN,"(24, 12)",CUDA,0.1143
CTGAN,"(24, 12)",CUDA,0.1108
CTGAN,"(24, 12)",CUDA,0.1147
CTGAN,"(24, 12)",CUDA,0.1158
CTGAN,"(24, 12)",CUDA,0.1156
CTGAN,"(24, 12)",CUDA,0.1215
CTGAN,"(24, 12)",CUDA,0.1208
CTGAN,"(24, 12)",CUDA,0.1213
CTGAN,"(24, 12)",CUDA,0.1151
CTGAN,"(24, 12)",CUDA,0.1073
CTGAN,"(24, 12)",CUDA,0.1234
CTGAN,"(24, 12)",CUDA,0.1165
CTGAN,"(24, 12)",CUDA,0.1175
CTGAN,"(24, 12)",CUDA,0.1146
CTGAN,"(24, 12)",CUDA,0.1117
CTGAN,"(24, 12)",CUDA,0.1255
CTGAN,"(24, 12)",CUDA,0.1162
CTGAN,"(24, 12)",CUDA,0.1156
CTGAN,"(24, 12)",CUDA,0.1188
CTGAN,"(24, 12)",CUDA,0.1134
CTGAN,"(24, 12)",CUDA,0.1215
CTGAN,"(24, 12)",CUDA,0.1176
CTGAN,"(24, 12)",CUDA,0.1217
CTGAN,"(24, 12)",CUDA,0.1227
CTGAN,"(24, 12)",CUDA,0.1237
CTGAN,"(24, 12)",CUDA,0.1168
CTGAN,"(24, 12)",CUDA,0.1179
CTGAN,"(24, 12)",CUDA,0.1141
CTGAN,"(24, 12)",CUDA,0.1179
CTGAN,"(24, 12)",CUDA,0.1122
CTGAN,"(24, 12)",CUDA,0.1114
CTGAN,"(24, 12)",CUDA,0.1139
CTGAN,"(24, 12)",CUDA,0.13
CTGAN,"(24, 12)",CUDA,0.1178
CTGAN,"(24, 12)",CUDA,0.1152
CTGAN,"(24, 12)",CUDA,0.1142
CTGAN,"(24, 12)",CUDA,0.1064
CTGAN,"(24, 12)",CUDA,0.1115
CTGAN,"(24, 12)",CUDA,0.1113
CTGAN,"(24, 12)",CUDA,0.1126
CTGAN,"(24, 12)",CUDA,0.1145
CTGAN,"(24, 12)",CUDA,0.1351
CTGAN,"(24, 12)",CUDA,0.1183
CTGAN,"(24, 12)",CUDA,0.1114
CTGAN,"(24, 12)",CUDA,0.1127
CTGAN,"(24, 12)",CUDA,0.1247
CTGAN,"(24, 12)",CUDA,0.1328
CTGAN,"(24, 12)",CUDA,0.1074
CTGAN,"(24, 12)",CUDA,0.1272
CTGAN,"(24, 12)",CUDA,0.1136
CTGAN,"(24, 12)",CUDA,0.1226
CTGAN,"(24, 12)",CUDA,0.1104
CTGAN,"(24, 12)",CUDA,0.1114
CTGAN,"(24, 12)",CUDA,0.1106
CTGAN,"(24, 12)",CUDA,0.1104
CTGAN,"(24, 12)",CUDA,0.1107
CTGAN,"(24, 12)",CUDA,0.1092
CTGAN,"(24, 12)",CUDA,0.1128
CTGAN,"(24, 12)",CUDA,0.1051
CTGAN,"(24, 12)",CUDA,0.1045
CTGAN,"(24, 12)",CUDA,0.1169
CTGAN,"(24, 12)",CUDA,0.1262
CTGAN,"(24, 12)",CUDA,0.1166
CTGAN,"(24, 12)",CUDA,0.1157
CTGAN,"(24, 12)",CUDA,0.1166
CTGAN,"(24, 12)",CUDA,0.1391
CTGAN,"(24, 12)",CUDA,0.1176
CTGAN,"(24, 12)",CUDA,0.1134
CTGAN,"(24, 12)",CUDA,0.1147
CTGAN,"(24, 12)",CUDA,0.1189
CTGAN,"(24, 12)",CUDA,0.1078
CTGAN,"(24, 12)",CUDA,0.112
CTGAN,"(24, 12)",CUDA,0.1037
CTGAN,"(24, 12)",CUDA,0.1111
CTGAN,"(24, 12)",CUDA,0.1075
CTGAN,"(24, 12)",CUDA,0.1119
CTGAN,"(24, 12)",CUDA,0.1137
CTGAN,"(24, 12)",CUDA,0.1097
CTGAN,"(24, 12)",CUDA,0.1172
CTGAN,"(24, 12)",CUDA,0.1094
CTGAN,"(24, 12)",CUDA,0.1116
CTGAN,"(24, 12)",CUDA,0.1091
CTGAN,"(24, 12)",CUDA,0.1142
CTGAN,"(24, 12)",CUDA,0.1143
CTGAN,"(24, 12)",CUDA,0.1332
CTGAN,"(24, 12)",CUDA,0.1426
CTGAN,"(24, 12)",CUDA,0.1371
CTGAN,"(24, 12)",CUDA,0.1056
CTGAN,"(24, 12)",CUDA,0.1013
CTGAN,"(24, 12)",CUDA,0.0996
CTGAN,"(24, 12)",CUDA,0.1007
CTGAN,"(24, 12)",CUDA,0.0989
CTGAN,"(24, 12)",CUDA,0.1043
CTGAN,"(24, 12)",CUDA,0.1023
CTGAN,"(24, 12)",CUDA,0.1026
CTGAN,"(24, 12)",CUDA,0.1004
CTGAN,"(24, 12)",CUDA,0.1036
CTGAN,"(24, 12)",CUDA,0.1011
CTGAN,"(24, 12)",CUDA,0.1033
CTGAN,"(24, 12)",CUDA,0.1218
CTGAN,"(24, 12)",CUDA,0.1294
CTGAN,"(24, 12)",CUDA,0.1285
CTGAN,"(24, 12)",CUDA,0.1351
CTGAN,"(24, 12)",CUDA,0.1228
CTGAN,"(24, 12)",CUDA,0.1292
CTGAN,"(24, 12)",CUDA,0.1247
CTGAN,"(24, 12)",CUDA,0.116
