Model,Architecture,Device,Time_seconds
CTGAN,"(10, 5)",CPU,0.1306
CTGAN,"(10, 5)",CPU,0.236
CTGAN,"(10, 5)",CPU,0.1502
CTGAN,"(10, 5)",CPU,0.0997
CTGAN,"(10, 5)",CPU,0.0817
CTGAN,"(10, 5)",CPU,0.1449
CTGAN,"(10, 5)",CPU,0.0834
CTGAN,"(10, 5)",CPU,0.0685
CTGAN,"(10, 5)",CPU,0.1016
CTGAN,"(10, 5)",CPU,0.2074
CTGAN,"(10, 5)",CPU,0.1498
CTGAN,"(10, 5)",CPU,0.1146
CTGAN,"(10, 5)",CPU,0.2748
CTGAN,"(10, 5)",CPU,0.2982
CTGAN,"(10, 5)",CPU,0.097
CTGAN,"(10, 5)",CPU,0.0999
CTGAN,"(10, 5)",CPU,0.1161
CTGAN,"(10, 5)",CPU,0.2098
CTGAN,"(10, 5)",CPU,0.2272
CTGAN,"(10, 5)",CPU,0.0938
CTGAN,"(10, 5)",CPU,0.1691
CTGAN,"(10, 5)",CPU,0.1258
CTGAN,"(10, 5)",CPU,0.1002
CTGAN,"(10, 5)",CPU,0.1464
CTGAN,"(10, 5)",CPU,0.0992
CTGAN,"(10, 5)",CPU,0.1277
CTGAN,"(10, 5)",CPU,0.1935
CTGAN,"(10, 5)",CPU,0.1201
CTGAN,"(10, 5)",CPU,0.1861
CTGAN,"(10, 5)",CPU,0.1091
CTGAN,"(10, 5)",CPU,0.0626
CTGAN,"(10, 5)",CPU,0.1834
CTGAN,"(10, 5)",CPU,0.1008
CTGAN,"(10, 5)",CPU,0.1014
CTGAN,"(10, 5)",CPU,0.1307
CTGAN,"(10, 5)",CPU,0.0708
CTGAN,"(10, 5)",CPU,0.1025
CTGAN,"(10, 5)",CPU,0.0624
CTGAN,"(10, 5)",CPU,0.0903
CTGAN,"(10, 5)",CPU,0.0922
CTGAN,"(10, 5)",CPU,0.0975
CTGAN,"(10, 5)",CPU,0.2012
CTGAN,"(10, 5)",CPU,0.1247
CTGAN,"(10, 5)",CPU,0.1732
CTGAN,"(10, 5)",CPU,0.089
CTGAN,"(10, 5)",CPU,0.103
CTGAN,"(10, 5)",CPU,0.1086
CTGAN,"(10, 5)",CPU,0.0993
CTGAN,"(10, 5)",CPU,0.0918
CTGAN,"(10, 5)",CPU,0.1158
CTGAN,"(10, 5)",CPU,0.0964
CTGAN,"(10, 5)",CPU,0.1834
CTGAN,"(10, 5)",CPU,0.1293
CTGAN,"(10, 5)",CPU,0.1507
CTGAN,"(10, 5)",CPU,0.1893
CTGAN,"(10, 5)",CPU,0.1615
CTGAN,"(10, 5)",CPU,0.1686
CTGAN,"(10, 5)",CPU,0.0972
CTGAN,"(10, 5)",CPU,0.0908
CTGAN,"(10, 5)",CPU,0.1676
CTGAN,"(10, 5)",CPU,0.1253
CTGAN,"(10, 5)",CPU,0.1897
CTGAN,"(10, 5)",CPU,0.1921
CTGAN,"(10, 5)",CPU,0.1497
CTGAN,"(10, 5)",CPU,0.1406
CTGAN,"(10, 5)",CPU,0.0876
CTGAN,"(10, 5)",CPU,0.1286
CTGAN,"(10, 5)",CPU,0.2315
CTGAN,"(10, 5)",CPU,0.2492
CTGAN,"(10, 5)",CPU,0.2089
CTGAN,"(10, 5)",CPU,0.0994
CTGAN,"(10, 5)",CPU,0.1395
CTGAN,"(10, 5)",CPU,0.2601
CTGAN,"(10, 5)",CPU,0.2218
CTGAN,"(10, 5)",CPU,0.1593
CTGAN,"(10, 5)",CPU,0.1432
CTGAN,"(10, 5)",CPU,0.1859
CTGAN,"(10, 5)",CPU,0.0952
CTGAN,"(10, 5)",CPU,0.1772
