Model,Architecture,Device,Time_seconds
CTGAN,"(10, 5)",CUDA,0.109
CTGAN,"(10, 5)",CUDA,0.1085
CTGAN,"(10, 5)",CUDA,0.0979
CTGAN,"(10, 5)",CUDA,0.096
CTGAN,"(10, 5)",CUDA,0.1061
CTGAN,"(10, 5)",CUDA,0.0915
CTGAN,"(10, 5)",CUDA,0.0958
CTGAN,"(10, 5)",CUDA,0.0912
CTGAN,"(10, 5)",CUDA,0.0905
CTGAN,"(10, 5)",CUDA,0.0902
CTGAN,"(10, 5)",CUDA,0.087
CTGAN,"(10, 5)",CUDA,0.0897
CTGAN,"(10, 5)",CUDA,0.0895
CTGAN,"(10, 5)",CUDA,0.0892
CTGAN,"(10, 5)",CUDA,0.0911
CTGAN,"(10, 5)",CUDA,0.1039
CTGAN,"(10, 5)",CUDA,0.0994
CTGAN,"(10, 5)",CUDA,0.0891
CTGAN,"(10, 5)",CUDA,0.0871
CTGAN,"(10, 5)",CUDA,0.0896
CTGAN,"(10, 5)",CUDA,0.0916
CTGAN,"(10, 5)",CUDA,0.0876
CTGAN,"(10, 5)",CUDA,0.0926
CTGAN,"(10, 5)",CUDA,0.091
CTGAN,"(10, 5)",CUDA,0.0918
CTGAN,"(10, 5)",CUDA,0.0925
CTGAN,"(10, 5)",CUDA,0.1069
CTGAN,"(10, 5)",CUDA,0.0894
CTGAN,"(10, 5)",CUDA,0.091
CTGAN,"(10, 5)",CUDA,0.0869
CTGAN,"(10, 5)",CUDA,0.0919
CTGAN,"(10, 5)",CUDA,0.0904
CTGAN,"(10, 5)",CUDA,0.0845
CTGAN,"(10, 5)",CUDA,0.0921
CTGAN,"(10, 5)",CUDA,0.0905
CTGAN,"(10, 5)",CUDA,0.0871
CTGAN,"(10, 5)",CUDA,0.0932
CTGAN,"(10, 5)",CUDA,0.1094
CTGAN,"(10, 5)",CUDA,0.0869
CTGAN,"(10, 5)",CUDA,0.0899
CTGAN,"(10, 5)",CUDA,0.09
CTGAN,"(10, 5)",CUDA,0.0976
CTGAN,"(10, 5)",CUDA,0.0938
CTGAN,"(10, 5)",CUDA,0.0911
CTGAN,"(10, 5)",CUDA,0.0946
CTGAN,"(10, 5)",CUDA,0.0955
CTGAN,"(10, 5)",CUDA,0.0942
CTGAN,"(10, 5)",CUDA,0.0926
CTGAN,"(10, 5)",CUDA,0.1052
CTGAN,"(10, 5)",CUDA,0.0948
CTGAN,"(10, 5)",CUDA,0.0973
CTGAN,"(10, 5)",CUDA,0.0887
CTGAN,"(10, 5)",CUDA,0.0973
CTGAN,"(10, 5)",CUDA,0.0898
CTGAN,"(10, 5)",CUDA,0.0935
