Model,Architecture,Device,Time_seconds
CTGAN,"(24, 12)",CUDA,0.3431
CTGAN,"(24, 12)",CUDA,0.2984
CTGAN,"(24, 12)",CUDA,0.3864
CTGAN,"(24, 12)",CUDA,0.3637
CTGAN,"(24, 12)",CUDA,0.2998
CTGAN,"(24, 12)",CUDA,0.3535
CTGAN,"(24, 12)",CUDA,0.3034
CTGAN,"(24, 12)",CUDA,0.3532
CTGAN,"(24, 12)",CUDA,0.3622
CTGAN,"(24, 12)",CUDA,0.3687
CTGAN,"(24, 12)",CUDA,0.3523
CTGAN,"(24, 12)",CUDA,0.3747
CTGAN,"(24, 12)",CUDA,0.3823
CTGAN,"(24, 12)",CUDA,0.3556
CTGAN,"(24, 12)",CUDA,0.2811
CTGAN,"(24, 12)",CUDA,0.2819
CTGAN,"(24, 12)",CUDA,0.2788
CTGAN,"(24, 12)",CUDA,0.3354
CTGAN,"(24, 12)",CUDA,0.2939
CTGAN,"(24, 12)",CUDA,0.3213
CTGAN,"(24, 12)",CUDA,0.3988
CTGAN,"(24, 12)",CUDA,0.3658
CTGAN,"(24, 12)",CUDA,0.4219
CTGAN,"(24, 12)",CUDA,0.4192
CTGAN,"(24, 12)",CUDA,0.3266
CTGAN,"(24, 12)",CUDA,0.3559
CTGAN,"(24, 12)",CUDA,0.3962
CTGAN,"(24, 12)",CUDA,0.2913
CTGAN,"(24, 12)",CUDA,0.3104
CTGAN,"(24, 12)",CUDA,0.3289
CTGAN,"(24, 12)",CUDA,0.3229
CTGAN,"(24, 12)",CUDA,0.3675
CTGAN,"(24, 12)",CUDA,0.417
CTGAN,"(24, 12)",CUDA,0.2828
CTGAN,"(24, 12)",CUDA,0.3413
CTGAN,"(24, 12)",CUDA,0.2807
CTGAN,"(24, 12)",CUDA,0.2807
CTGAN,"(24, 12)",CUDA,0.3007
CTGAN,"(24, 12)",CUDA,0.3234
CTGAN,"(24, 12)",CUDA,0.2904
CTGAN,"(24, 12)",CUDA,0.2946
CTGAN,"(24, 12)",CUDA,0.2782
CTGAN,"(24, 12)",CUDA,0.3541
CTGAN,"(24, 12)",CUDA,0.2812
CTGAN,"(24, 12)",CUDA,0.2932
CTGAN,"(24, 12)",CUDA,0.3089
CTGAN,"(24, 12)",CUDA,0.3411
CTGAN,"(24, 12)",CUDA,0.3227
CTGAN,"(24, 12)",CUDA,0.3167
CTGAN,"(24, 12)",CUDA,0.3168
CTGAN,"(24, 12)",CUDA,0.3888
CTGAN,"(24, 12)",CUDA,0.3097
CTGAN,"(24, 12)",CUDA,0.3138
CTGAN,"(24, 12)",CUDA,0.3739
CTGAN,"(24, 12)",CUDA,0.2869
CTGAN,"(24, 12)",CUDA,0.2854
CTGAN,"(24, 12)",CUDA,0.3493
CTGAN,"(24, 12)",CUDA,0.3953
CTGAN,"(24, 12)",CUDA,0.4139
CTGAN,"(24, 12)",CUDA,0.3606
CTGAN,"(24, 12)",CUDA,0.2967
CTGAN,"(24, 12)",CUDA,0.3922
CTGAN,"(24, 12)",CUDA,0.372
CTGAN,"(24, 12)",CUDA,0.3012
CTGAN,"(24, 12)",CUDA,0.3577
CTGAN,"(24, 12)",CUDA,0.446
CTGAN,"(24, 12)",CUDA,0.4728
CTGAN,"(24, 12)",CUDA,0.3717
CTGAN,"(24, 12)",CUDA,0.3787
CTGAN,"(24, 12)",CUDA,0.3536
CTGAN,"(24, 12)",CUDA,0.3654
CTGAN,"(24, 12)",CUDA,0.3235
CTGAN,"(24, 12)",CUDA,0.2928
CTGAN,"(24, 12)",CUDA,0.3611
CTGAN,"(24, 12)",CUDA,0.3587
CTGAN,"(24, 12)",CUDA,0.3487
CTGAN,"(24, 12)",CUDA,0.4362
CTGAN,"(24, 12)",CUDA,0.35
CTGAN,"(24, 12)",CUDA,0.3072
CTGAN,"(24, 12)",CUDA,0.3075
CTGAN,"(24, 12)",CUDA,0.3793
CTGAN,"(24, 12)",CUDA,0.3345
CTGAN,"(24, 12)",CUDA,0.3042
CTGAN,"(24, 12)",CUDA,0.3187
CTGAN,"(24, 12)",CUDA,0.4128
CTGAN,"(24, 12)",CUDA,0.2868
CTGAN,"(24, 12)",CUDA,0.2866
CTGAN,"(24, 12)",CUDA,0.2928
CTGAN,"(24, 12)",CUDA,0.2874
CTGAN,"(24, 12)",CUDA,0.2829
CTGAN,"(24, 12)",CUDA,0.2924
CTGAN,"(24, 12)",CUDA,0.3039
CTGAN,"(24, 12)",CUDA,0.289
CTGAN,"(24, 12)",CUDA,0.2967
CTGAN,"(24, 12)",CUDA,0.2855
CTGAN,"(24, 12)",CUDA,0.2946
CTGAN,"(24, 12)",CUDA,0.295
CTGAN,"(24, 12)",CUDA,0.2929
CTGAN,"(24, 12)",CUDA,0.2904
CTGAN,"(24, 12)",CUDA,0.2983
CTGAN,"(24, 12)",CUDA,0.2958
CTGAN,"(24, 12)",CUDA,0.2912
CTGAN,"(24, 12)",CUDA,0.2906
CTGAN,"(24, 12)",CUDA,0.3066
CTGAN,"(24, 12)",CUDA,0.2906
CTGAN,"(24, 12)",CUDA,0.2886
CTGAN,"(24, 12)",CUDA,0.2874
CTGAN,"(24, 12)",CUDA,0.3081
CTGAN,"(24, 12)",CUDA,0.2941
CTGAN,"(24, 12)",CUDA,0.2888
CTGAN,"(24, 12)",CUDA,0.3116
CTGAN,"(24, 12)",CUDA,0.3701
CTGAN,"(24, 12)",CUDA,0.3143
CTGAN,"(24, 12)",CUDA,0.3214
CTGAN,"(24, 12)",CUDA,0.2904
CTGAN,"(24, 12)",CUDA,0.3093
CTGAN,"(24, 12)",CUDA,0.2888
CTGAN,"(24, 12)",CUDA,0.2902
CTGAN,"(24, 12)",CUDA,0.2933
CTGAN,"(24, 12)",CUDA,0.2865
CTGAN,"(24, 12)",CUDA,0.2892
CTGAN,"(24, 12)",CUDA,0.2873
CTGAN,"(24, 12)",CUDA,0.3002
CTGAN,"(24, 12)",CUDA,0.3072
CTGAN,"(24, 12)",CUDA,0.3598
CTGAN,"(24, 12)",CUDA,0.3636
CTGAN,"(24, 12)",CUDA,0.3725
