Model,Architecture,Device,Time_seconds
CTGAN,"(64, 32)",CPU,0.2621
CTGAN,"(64, 32)",CPU,0.253
CTGAN,"(64, 32)",CPU,0.3019
CTGAN,"(64, 32)",CPU,0.3134
CTGAN,"(64, 32)",CPU,0.2409
CTGAN,"(64, 32)",CPU,0.2699
CTGAN,"(64, 32)",CPU,0.2695
CTGAN,"(64, 32)",CPU,0.2458
CTGAN,"(64, 32)",CPU,0.2644
CTGAN,"(64, 32)",CPU,0.2497
CTGAN,"(64, 32)",CPU,0.2513
CTGAN,"(64, 32)",CPU,0.2453
CTGAN,"(64, 32)",CPU,0.2997
CTGAN,"(64, 32)",CPU,0.2642
CTGAN,"(64, 32)",CPU,0.255
CTGAN,"(64, 32)",CPU,0.2551
CTGAN,"(64, 32)",CPU,0.2651
CTGAN,"(64, 32)",CPU,0.2954
CTGAN,"(64, 32)",CPU,0.3023
CTGAN,"(64, 32)",CPU,0.2672
CTGAN,"(64, 32)",CPU,0.3004
CTGAN,"(64, 32)",CPU,0.3219
CTGAN,"(64, 32)",CPU,0.2947
CTGAN,"(64, 32)",CPU,0.2815
CTGAN,"(64, 32)",CPU,0.3039
CTGAN,"(64, 32)",CPU,0.2521
CTGAN,"(64, 32)",CPU,0.2458
CTGAN,"(64, 32)",CPU,0.2689
CTGAN,"(64, 32)",CPU,0.2569
CTGAN,"(64, 32)",CPU,0.2356
CTGAN,"(64, 32)",CPU,0.325
CTGAN,"(64, 32)",CPU,0.3394
CTGAN,"(64, 32)",CPU,0.3185
CTGAN,"(64, 32)",CPU,0.2872
CTGAN,"(64, 32)",CPU,0.2827
CTGAN,"(64, 32)",CPU,0.306
CTGAN,"(64, 32)",CPU,0.2699
CTGAN,"(64, 32)",CPU,0.3028
CTGAN,"(64, 32)",CPU,0.3692
CTGAN,"(64, 32)",CPU,0.3716
CTGAN,"(64, 32)",CPU,0.362
CTGAN,"(64, 32)",CPU,0.3191
CTGAN,"(64, 32)",CPU,0.2708
CTGAN,"(64, 32)",CPU,0.2581
CTGAN,"(64, 32)",CPU,0.3516
CTGAN,"(64, 32)",CPU,0.3641
CTGAN,"(64, 32)",CPU,0.3626
CTGAN,"(64, 32)",CPU,0.3515
CTGAN,"(64, 32)",CPU,0.3582
CTGAN,"(64, 32)",CPU,0.345
CTGAN,"(64, 32)",CPU,0.2778
CTGAN,"(64, 32)",CPU,0.2795
CTGAN,"(64, 32)",CPU,0.2622
CTGAN,"(64, 32)",CPU,0.311
CTGAN,"(64, 32)",CPU,0.3151
CTGAN,"(64, 32)",CPU,0.3607
CTGAN,"(64, 32)",CPU,0.3827
CTGAN,"(64, 32)",CPU,0.3503
CTGAN,"(64, 32)",CPU,0.3505
CTGAN,"(64, 32)",CPU,0.3079
CTGAN,"(64, 32)",CPU,0.354
CTGAN,"(64, 32)",CPU,0.2964
CTGAN,"(64, 32)",CPU,0.2891
CTGAN,"(64, 32)",CPU,0.2927
CTGAN,"(64, 32)",CPU,0.2682
CTGAN,"(64, 32)",CPU,0.3164
CTGAN,"(64, 32)",CPU,0.3527
CTGAN,"(64, 32)",CPU,0.3176
CTGAN,"(64, 32)",CPU,0.2681
CTGAN,"(64, 32)",CPU,0.2636
CTGAN,"(64, 32)",CPU,0.3333
CTGAN,"(64, 32)",CPU,0.3052
CTGAN,"(64, 32)",CPU,0.2725
CTGAN,"(64, 32)",CPU,0.2483
CTGAN,"(64, 32)",CPU,0.2737
CTGAN,"(64, 32)",CPU,0.2835
CTGAN,"(64, 32)",CPU,0.3349
CTGAN,"(64, 32)",CPU,0.3166
CTGAN,"(64, 32)",CPU,0.286
CTGAN,"(64, 32)",CPU,0.3453
CTGAN,"(64, 32)",CPU,0.3255
CTGAN,"(64, 32)",CPU,0.3397
CTGAN,"(64, 32)",CPU,0.3406
CTGAN,"(64, 32)",CPU,0.2927
CTGAN,"(64, 32)",CPU,0.2758
CTGAN,"(64, 32)",CPU,0.2729
CTGAN,"(64, 32)",CPU,0.2653
CTGAN,"(64, 32)",CPU,0.281
CTGAN,"(64, 32)",CPU,0.2341
CTGAN,"(64, 32)",CPU,0.2282
CTGAN,"(64, 32)",CPU,0.2634
CTGAN,"(64, 32)",CPU,0.2301
CTGAN,"(64, 32)",CPU,0.2516
CTGAN,"(64, 32)",CPU,0.2291
CTGAN,"(64, 32)",CPU,0.2625
CTGAN,"(64, 32)",CPU,0.2277
CTGAN,"(64, 32)",CPU,0.2326
CTGAN,"(64, 32)",CPU,0.2296
CTGAN,"(64, 32)",CPU,0.2529
CTGAN,"(64, 32)",CPU,0.229
CTGAN,"(64, 32)",CPU,0.2356
CTGAN,"(64, 32)",CPU,0.229
CTGAN,"(64, 32)",CPU,0.2434
CTGAN,"(64, 32)",CPU,0.2691
CTGAN,"(64, 32)",CPU,0.2263
CTGAN,"(64, 32)",CPU,0.2281
CTGAN,"(64, 32)",CPU,0.2349
CTGAN,"(64, 32)",CPU,0.2705
CTGAN,"(64, 32)",CPU,0.2293
CTGAN,"(64, 32)",CPU,0.2351
CTGAN,"(64, 32)",CPU,0.232
CTGAN,"(64, 32)",CPU,0.2528
CTGAN,"(64, 32)",CPU,0.2268
CTGAN,"(64, 32)",CPU,0.2269
CTGAN,"(64, 32)",CPU,0.2272
CTGAN,"(64, 32)",CPU,0.2508
CTGAN,"(64, 32)",CPU,0.2272
CTGAN,"(64, 32)",CPU,0.2324
CTGAN,"(64, 32)",CPU,0.2292
CTGAN,"(64, 32)",CPU,0.2529
CTGAN,"(64, 32)",CPU,0.2445
CTGAN,"(64, 32)",CPU,0.2389
CTGAN,"(64, 32)",CPU,0.2311
CTGAN,"(64, 32)",CPU,0.2323
CTGAN,"(64, 32)",CPU,0.2541
CTGAN,"(64, 32)",CPU,0.2331
CTGAN,"(64, 32)",CPU,0.2335
CTGAN,"(64, 32)",CPU,0.231
CTGAN,"(64, 32)",CPU,0.2548
CTGAN,"(64, 32)",CPU,0.23
CTGAN,"(64, 32)",CPU,0.233
CTGAN,"(64, 32)",CPU,0.2327
CTGAN,"(64, 32)",CPU,0.2551
CTGAN,"(64, 32)",CPU,0.2266
CTGAN,"(64, 32)",CPU,0.2331
CTGAN,"(64, 32)",CPU,0.2279
CTGAN,"(64, 32)",CPU,0.2278
CTGAN,"(64, 32)",CPU,0.254
CTGAN,"(64, 32)",CPU,0.2281
CTGAN,"(64, 32)",CPU,0.2271
CTGAN,"(64, 32)",CPU,0.2294
CTGAN,"(64, 32)",CPU,0.2541
CTGAN,"(64, 32)",CPU,0.2308
CTGAN,"(64, 32)",CPU,0.2418
CTGAN,"(64, 32)",CPU,0.2402
CTGAN,"(64, 32)",CPU,0.2571
CTGAN,"(64, 32)",CPU,0.2361
CTGAN,"(64, 32)",CPU,0.2382
CTGAN,"(64, 32)",CPU,0.2429
CTGAN,"(64, 32)",CPU,0.2553
CTGAN,"(64, 32)",CPU,0.2297
CTGAN,"(64, 32)",CPU,0.2321
CTGAN,"(64, 32)",CPU,0.2279
CTGAN,"(64, 32)",CPU,0.2271
CTGAN,"(64, 32)",CPU,0.2554
CTGAN,"(64, 32)",CPU,0.2289
CTGAN,"(64, 32)",CPU,0.2285
CTGAN,"(64, 32)",CPU,0.2325
CTGAN,"(64, 32)",CPU,0.2558
CTGAN,"(64, 32)",CPU,0.2294
CTGAN,"(64, 32)",CPU,0.2313
CTGAN,"(64, 32)",CPU,0.2333
CTGAN,"(64, 32)",CPU,0.2581
CTGAN,"(64, 32)",CPU,0.2307
CTGAN,"(64, 32)",CPU,0.2277
CTGAN,"(64, 32)",CPU,0.2255
CTGAN,"(64, 32)",CPU,0.2533
CTGAN,"(64, 32)",CPU,0.2313
CTGAN,"(64, 32)",CPU,0.2319
CTGAN,"(64, 32)",CPU,0.2301
CTGAN,"(64, 32)",CPU,0.2325
CTGAN,"(64, 32)",CPU,0.2623
CTGAN,"(64, 32)",CPU,0.2432
CTGAN,"(64, 32)",CPU,0.2313
CTGAN,"(64, 32)",CPU,0.2424
CTGAN,"(64, 32)",CPU,0.2601
CTGAN,"(64, 32)",CPU,0.2466
CTGAN,"(64, 32)",CPU,0.2326
CTGAN,"(64, 32)",CPU,0.2336
CTGAN,"(64, 32)",CPU,0.2653
CTGAN,"(64, 32)",CPU,0.2309
CTGAN,"(64, 32)",CPU,0.2326
CTGAN,"(64, 32)",CPU,0.235
