Model,Architecture,Device,Time_seconds
TVAE,"(16, 8)",CPU,0.3117
TVAE,"(16, 8)",CPU,0.3449
TVAE,"(16, 8)",CPU,0.2694
TVAE,"(16, 8)",CPU,0.2559
TVAE,"(16, 8)",CPU,0.3329
TVAE,"(16, 8)",CPU,0.254
TVAE,"(16, 8)",CPU,0.2754
TVAE,"(16, 8)",CPU,0.3385
TVAE,"(16, 8)",CPU,0.3284
TVAE,"(16, 8)",CPU,0.3201
TVAE,"(16, 8)",CPU,0.2873
TVAE,"(16, 8)",CPU,0.3658
TVAE,"(16, 8)",CPU,0.2863
TVAE,"(16, 8)",CPU,0.2515
TVAE,"(16, 8)",CPU,0.271
TVAE,"(16, 8)",CPU,0.2858
TVAE,"(16, 8)",CPU,0.3124
TVAE,"(16, 8)",CPU,0.2853
TVAE,"(16, 8)",CPU,0.3342
TVAE,"(16, 8)",CPU,0.2599
TVAE,"(16, 8)",CPU,0.2319
TVAE,"(16, 8)",CPU,0.2663
TVAE,"(16, 8)",CPU,0.368
TVAE,"(16, 8)",CPU,0.5778
TVAE,"(16, 8)",CPU,0.3721
TVAE,"(16, 8)",CPU,0.4046
TVAE,"(16, 8)",CPU,0.3173
TVAE,"(16, 8)",CPU,0.4292
TVAE,"(16, 8)",CPU,0.2941
TVAE,"(16, 8)",CPU,0.4106
TVAE,"(16, 8)",CPU,0.4909
TVAE,"(16, 8)",CPU,0.3044
TVAE,"(16, 8)",CPU,0.3178
TVAE,"(16, 8)",CPU,0.3271
TVAE,"(16, 8)",CPU,0.3134
TVAE,"(16, 8)",CPU,0.4358
TVAE,"(16, 8)",CPU,0.4865
TVAE,"(16, 8)",CPU,0.4433
TVAE,"(16, 8)",CPU,0.4014
TVAE,"(16, 8)",CPU,0.4462
TVAE,"(16, 8)",CPU,0.4105
TVAE,"(16, 8)",CPU,0.4568
TVAE,"(16, 8)",CPU,0.3823
TVAE,"(16, 8)",CPU,0.2065
TVAE,"(16, 8)",CPU,0.2976
TVAE,"(16, 8)",CPU,0.2523
TVAE,"(16, 8)",CPU,0.2707
TVAE,"(16, 8)",CPU,0.2874
TVAE,"(16, 8)",CPU,0.3397
TVAE,"(16, 8)",CPU,0.4199
TVAE,"(16, 8)",CPU,0.2772
TVAE,"(16, 8)",CPU,0.2912
TVAE,"(16, 8)",CPU,0.2815
TVAE,"(16, 8)",CPU,0.2995
TVAE,"(16, 8)",CPU,0.2023
TVAE,"(16, 8)",CPU,0.2426
TVAE,"(16, 8)",CPU,0.2064
TVAE,"(16, 8)",CPU,0.2042
TVAE,"(16, 8)",CPU,0.2027
TVAE,"(16, 8)",CPU,0.2664
TVAE,"(16, 8)",CPU,0.3035
TVAE,"(16, 8)",CPU,0.2912
TVAE,"(16, 8)",CPU,0.3118
TVAE,"(16, 8)",CPU,0.3109
TVAE,"(16, 8)",CPU,0.2823
TVAE,"(16, 8)",CPU,0.2768
TVAE,"(16, 8)",CPU,0.2448
TVAE,"(16, 8)",CPU,0.3951
TVAE,"(16, 8)",CPU,0.2844
TVAE,"(16, 8)",CPU,0.2282
TVAE,"(16, 8)",CPU,0.2532
TVAE,"(16, 8)",CPU,0.2378
TVAE,"(16, 8)",CPU,0.3447
TVAE,"(16, 8)",CPU,0.4377
TVAE,"(16, 8)",CPU,0.4116
TVAE,"(16, 8)",CPU,0.3901
TVAE,"(16, 8)",CPU,0.3295
TVAE,"(16, 8)",CPU,0.4092
TVAE,"(16, 8)",CPU,0.3349
TVAE,"(16, 8)",CPU,0.324
TVAE,"(16, 8)",CPU,0.2919
TVAE,"(16, 8)",CPU,0.2665
TVAE,"(16, 8)",CPU,0.3004
TVAE,"(16, 8)",CPU,0.3216
TVAE,"(16, 8)",CPU,0.3097
TVAE,"(16, 8)",CPU,0.4285
TVAE,"(16, 8)",CPU,0.537
TVAE,"(16, 8)",CPU,0.3305
TVAE,"(16, 8)",CPU,0.3752
TVAE,"(16, 8)",CPU,0.3242
TVAE,"(16, 8)",CPU,0.3382
TVAE,"(16, 8)",CPU,0.3318
TVAE,"(16, 8)",CPU,0.3018
TVAE,"(16, 8)",CPU,0.3215
TVAE,"(16, 8)",CPU,0.2815
TVAE,"(16, 8)",CPU,0.3584
TVAE,"(16, 8)",CPU,0.3434
TVAE,"(16, 8)",CPU,0.3338
TVAE,"(16, 8)",CPU,0.3084
TVAE,"(16, 8)",CPU,0.2606
TVAE,"(16, 8)",CPU,0.2952
TVAE,"(16, 8)",CPU,0.2996
TVAE,"(16, 8)",CPU,0.3727
TVAE,"(16, 8)",CPU,0.3141
TVAE,"(16, 8)",CPU,0.379
TVAE,"(16, 8)",CPU,0.322
TVAE,"(16, 8)",CPU,0.267
TVAE,"(16, 8)",CPU,0.2068
TVAE,"(16, 8)",CPU,0.2973
TVAE,"(16, 8)",CPU,0.2706
TVAE,"(16, 8)",CPU,0.2916
TVAE,"(16, 8)",CPU,0.4897
TVAE,"(16, 8)",CPU,0.3911
TVAE,"(16, 8)",CPU,0.3668
TVAE,"(16, 8)",CPU,0.2872
TVAE,"(16, 8)",CPU,0.3821
TVAE,"(16, 8)",CPU,0.3669
TVAE,"(16, 8)",CPU,0.2708
TVAE,"(16, 8)",CPU,0.3351
