Model,Architecture,Device,Time_seconds
TVAE,"(16, 8)",CUDA,0.0367
TVAE,"(16, 8)",CUDA,0.0346
TVAE,"(16, 8)",CUDA,0.034
TVAE,"(16, 8)",CUDA,0.0351
TVAE,"(16, 8)",CUDA,0.0353
TVAE,"(16, 8)",CUDA,0.035
TVAE,"(16, 8)",CUDA,0.0352
TVAE,"(16, 8)",CUDA,0.0355
TVAE,"(16, 8)",CUDA,0.0353
TVAE,"(16, 8)",CUDA,0.0346
TVAE,"(16, 8)",CUDA,0.0351
TVAE,"(16, 8)",CUDA,0.0348
TVAE,"(16, 8)",CUDA,0.0358
TVAE,"(16, 8)",CUDA,0.0345
TVAE,"(16, 8)",CUDA,0.0495
TVAE,"(16, 8)",CUDA,0.0477
TVAE,"(16, 8)",CUDA,0.0389
TVAE,"(16, 8)",CUDA,0.0353
TVAE,"(16, 8)",CUDA,0.0343
TVAE,"(16, 8)",CUDA,0.0345
TVAE,"(16, 8)",CUDA,0.0344
TVAE,"(16, 8)",CUDA,0.0347
TVAE,"(16, 8)",CUDA,0.0334
TVAE,"(16, 8)",CUDA,0.0338
TVAE,"(16, 8)",CUDA,0.0344
TVAE,"(16, 8)",CUDA,0.0342
TVAE,"(16, 8)",CUDA,0.0344
TVAE,"(16, 8)",CUDA,0.0338
TVAE,"(16, 8)",CUDA,0.0341
TVAE,"(16, 8)",CUDA,0.034
TVAE,"(16, 8)",CUDA,0.034
TVAE,"(16, 8)",CUDA,0.0339
TVAE,"(16, 8)",CUDA,0.0338
TVAE,"(16, 8)",CUDA,0.035
TVAE,"(16, 8)",CUDA,0.0346
TVAE,"(16, 8)",CUDA,0.0342
TVAE,"(16, 8)",CUDA,0.0339
TVAE,"(16, 8)",CUDA,0.0345
TVAE,"(16, 8)",CUDA,0.034
TVAE,"(16, 8)",CUDA,0.0337
TVAE,"(16, 8)",CUDA,0.0347
TVAE,"(16, 8)",CUDA,0.0347
TVAE,"(16, 8)",CUDA,0.0343
TVAE,"(16, 8)",CUDA,0.0536
TVAE,"(16, 8)",CUDA,0.0465
TVAE,"(16, 8)",CUDA,0.0382
TVAE,"(16, 8)",CUDA,0.0432
TVAE,"(16, 8)",CUDA,0.0373
TVAE,"(16, 8)",CUDA,0.0377
TVAE,"(16, 8)",CUDA,0.038
TVAE,"(16, 8)",CUDA,0.0366
TVAE,"(16, 8)",CUDA,0.0364
TVAE,"(16, 8)",CUDA,0.0362
TVAE,"(16, 8)",CUDA,0.0338
TVAE,"(16, 8)",CUDA,0.0338
TVAE,"(16, 8)",CUDA,0.0341
TVAE,"(16, 8)",CUDA,0.0335
TVAE,"(16, 8)",CUDA,0.0333
TVAE,"(16, 8)",CUDA,0.033
TVAE,"(16, 8)",CUDA,0.0327
TVAE,"(16, 8)",CUDA,0.0343
TVAE,"(16, 8)",CUDA,0.0401
TVAE,"(16, 8)",CUDA,0.0344
TVAE,"(16, 8)",CUDA,0.0346
TVAE,"(16, 8)",CUDA,0.0339
TVAE,"(16, 8)",CUDA,0.0338
TVAE,"(16, 8)",CUDA,0.0343
TVAE,"(16, 8)",CUDA,0.0353
TVAE,"(16, 8)",CUDA,0.0342
TVAE,"(16, 8)",CUDA,0.0344
TVAE,"(16, 8)",CUDA,0.0343
TVAE,"(16, 8)",CUDA,0.0503
TVAE,"(16, 8)",CUDA,0.0452
TVAE,"(16, 8)",CUDA,0.0346
TVAE,"(16, 8)",CUDA,0.0357
TVAE,"(16, 8)",CUDA,0.034
TVAE,"(16, 8)",CUDA,0.0368
TVAE,"(16, 8)",CUDA,0.0401
TVAE,"(16, 8)",CUDA,0.0366
TVAE,"(16, 8)",CUDA,0.035
TVAE,"(16, 8)",CUDA,0.0339
TVAE,"(16, 8)",CUDA,0.0354
TVAE,"(16, 8)",CUDA,0.0344
TVAE,"(16, 8)",CUDA,0.0343
TVAE,"(16, 8)",CUDA,0.0342
TVAE,"(16, 8)",CUDA,0.0354
TVAE,"(16, 8)",CUDA,0.0352
TVAE,"(16, 8)",CUDA,0.0348
TVAE,"(16, 8)",CUDA,0.0389
TVAE,"(16, 8)",CUDA,0.0372
TVAE,"(16, 8)",CUDA,0.0373
TVAE,"(16, 8)",CUDA,0.0351
TVAE,"(16, 8)",CUDA,0.037
TVAE,"(16, 8)",CUDA,0.0365
TVAE,"(16, 8)",CUDA,0.0358
TVAE,"(16, 8)",CUDA,0.0354
TVAE,"(16, 8)",CUDA,0.0433
TVAE,"(16, 8)",CUDA,0.0387
TVAE,"(16, 8)",CUDA,0.051
TVAE,"(16, 8)",CUDA,0.0468
TVAE,"(16, 8)",CUDA,0.0422
TVAE,"(16, 8)",CUDA,0.0396
TVAE,"(16, 8)",CUDA,0.035
TVAE,"(16, 8)",CUDA,0.0353
TVAE,"(16, 8)",CUDA,0.0361
TVAE,"(16, 8)",CUDA,0.0405
TVAE,"(16, 8)",CUDA,0.0331
TVAE,"(16, 8)",CUDA,0.0332
TVAE,"(16, 8)",CUDA,0.0337
TVAE,"(16, 8)",CUDA,0.0332
TVAE,"(16, 8)",CUDA,0.0333
TVAE,"(16, 8)",CUDA,0.0342
TVAE,"(16, 8)",CUDA,0.0416
TVAE,"(16, 8)",CUDA,0.0343
TVAE,"(16, 8)",CUDA,0.0338
TVAE,"(16, 8)",CUDA,0.0341
TVAE,"(16, 8)",CUDA,0.0341
TVAE,"(16, 8)",CUDA,0.0342
TVAE,"(16, 8)",CUDA,0.0337
TVAE,"(16, 8)",CUDA,0.0341
TVAE,"(16, 8)",CUDA,0.0339
TVAE,"(16, 8)",CUDA,0.0332
TVAE,"(16, 8)",CUDA,0.0331
TVAE,"(16, 8)",CUDA,0.0386
TVAE,"(16, 8)",CUDA,0.0363
TVAE,"(16, 8)",CUDA,0.0356
TVAE,"(16, 8)",CUDA,0.0701
TVAE,"(16, 8)",CUDA,0.0381
TVAE,"(16, 8)",CUDA,0.0347
TVAE,"(16, 8)",CUDA,0.0338
TVAE,"(16, 8)",CUDA,0.0334
TVAE,"(16, 8)",CUDA,0.0335
TVAE,"(16, 8)",CUDA,0.0332
TVAE,"(16, 8)",CUDA,0.0338
TVAE,"(16, 8)",CUDA,0.0338
TVAE,"(16, 8)",CUDA,0.0337
TVAE,"(16, 8)",CUDA,0.0332
TVAE,"(16, 8)",CUDA,0.0338
TVAE,"(16, 8)",CUDA,0.034
TVAE,"(16, 8)",CUDA,0.0337
TVAE,"(16, 8)",CUDA,0.0337
TVAE,"(16, 8)",CUDA,0.0332
TVAE,"(16, 8)",CUDA,0.0336
TVAE,"(16, 8)",CUDA,0.0338
TVAE,"(16, 8)",CUDA,0.0338
TVAE,"(16, 8)",CUDA,0.0335
TVAE,"(16, 8)",CUDA,0.0336
TVAE,"(16, 8)",CUDA,0.034
TVAE,"(16, 8)",CUDA,0.0338
TVAE,"(16, 8)",CUDA,0.0333
TVAE,"(16, 8)",CUDA,0.0333
TVAE,"(16, 8)",CUDA,0.0337
TVAE,"(16, 8)",CUDA,0.0338
TVAE,"(16, 8)",CUDA,0.0339
TVAE,"(16, 8)",CUDA,0.0334
TVAE,"(16, 8)",CUDA,0.0513
TVAE,"(16, 8)",CUDA,0.0447
TVAE,"(16, 8)",CUDA,0.0338
TVAE,"(16, 8)",CUDA,0.0338
TVAE,"(16, 8)",CUDA,0.0339
