Model,Architecture,Device,Time_seconds
TVAE,"(64, 32)",CUDA,0.27
TVAE,"(64, 32)",CUDA,0.2435
TVAE,"(64, 32)",CUDA,0.2685
TVAE,"(64, 32)",CUDA,0.304
TVAE,"(64, 32)",CUDA,0.2372
TVAE,"(64, 32)",CUDA,0.2372
TVAE,"(64, 32)",CUDA,0.2268
TVAE,"(64, 32)",CUDA,0.2324
TVAE,"(64, 32)",CUDA,0.255
TVAE,"(64, 32)",CUDA,0.2573
TVAE,"(64, 32)",CUDA,0.2399
TVAE,"(64, 32)",CUDA,0.2454
TVAE,"(64, 32)",CUDA,0.304
TVAE,"(64, 32)",CUDA,0.2425
TVAE,"(64, 32)",CUDA,0.2265
TVAE,"(64, 32)",CUDA,0.2268
TVAE,"(64, 32)",CUDA,0.2506
TVAE,"(64, 32)",CUDA,0.23
TVAE,"(64, 32)",CUDA,0.226
TVAE,"(64, 32)",CUDA,0.2261
TVAE,"(64, 32)",CUDA,0.2495
TVAE,"(64, 32)",CUDA,0.2253
TVAE,"(64, 32)",CUDA,0.2255
TVAE,"(64, 32)",CUDA,0.2285
TVAE,"(64, 32)",CUDA,0.2255
TVAE,"(64, 32)",CUDA,0.2515
TVAE,"(64, 32)",CUDA,0.2226
TVAE,"(64, 32)",CUDA,0.2253
TVAE,"(64, 32)",CUDA,0.2251
TVAE,"(64, 32)",CUDA,0.254
TVAE,"(64, 32)",CUDA,0.2265
TVAE,"(64, 32)",CUDA,0.227
TVAE,"(64, 32)",CUDA,0.2274
TVAE,"(64, 32)",CUDA,0.2533
TVAE,"(64, 32)",CUDA,0.2299
TVAE,"(64, 32)",CUDA,0.2276
TVAE,"(64, 32)",CUDA,0.2287
TVAE,"(64, 32)",CUDA,0.2282
TVAE,"(64, 32)",CUDA,0.2527
TVAE,"(64, 32)",CUDA,0.2264
TVAE,"(64, 32)",CUDA,0.2231
TVAE,"(64, 32)",CUDA,0.2206
TVAE,"(64, 32)",CUDA,0.3241
TVAE,"(64, 32)",CUDA,0.2227
TVAE,"(64, 32)",CUDA,0.2498
TVAE,"(64, 32)",CUDA,0.2365
TVAE,"(64, 32)",CUDA,0.2505
TVAE,"(64, 32)",CUDA,0.2253
TVAE,"(64, 32)",CUDA,0.2277
TVAE,"(64, 32)",CUDA,0.2312
TVAE,"(64, 32)",CUDA,0.2472
TVAE,"(64, 32)",CUDA,0.2321
TVAE,"(64, 32)",CUDA,0.2212
TVAE,"(64, 32)",CUDA,0.2195
TVAE,"(64, 32)",CUDA,0.2195
TVAE,"(64, 32)",CUDA,0.2464
TVAE,"(64, 32)",CUDA,0.2212
TVAE,"(64, 32)",CUDA,0.2327
TVAE,"(64, 32)",CUDA,0.2457
TVAE,"(64, 32)",CUDA,0.2516
TVAE,"(64, 32)",CUDA,0.2327
TVAE,"(64, 32)",CUDA,0.2265
TVAE,"(64, 32)",CUDA,0.2296
TVAE,"(64, 32)",CUDA,0.2209
TVAE,"(64, 32)",CUDA,0.2587
TVAE,"(64, 32)",CUDA,0.2249
TVAE,"(64, 32)",CUDA,0.2267
TVAE,"(64, 32)",CUDA,0.2257
TVAE,"(64, 32)",CUDA,0.2549
TVAE,"(64, 32)",CUDA,0.2202
TVAE,"(64, 32)",CUDA,0.2332
TVAE,"(64, 32)",CUDA,0.2296
TVAE,"(64, 32)",CUDA,0.2581
TVAE,"(64, 32)",CUDA,0.2284
TVAE,"(64, 32)",CUDA,0.2283
TVAE,"(64, 32)",CUDA,0.2278
TVAE,"(64, 32)",CUDA,0.2292
TVAE,"(64, 32)",CUDA,0.2599
TVAE,"(64, 32)",CUDA,0.2283
TVAE,"(64, 32)",CUDA,0.229
TVAE,"(64, 32)",CUDA,0.2235
TVAE,"(64, 32)",CUDA,0.2527
TVAE,"(64, 32)",CUDA,0.2242
TVAE,"(64, 32)",CUDA,0.2261
TVAE,"(64, 32)",CUDA,0.229
TVAE,"(64, 32)",CUDA,0.2558
TVAE,"(64, 32)",CUDA,0.2362
TVAE,"(64, 32)",CUDA,0.2338
TVAE,"(64, 32)",CUDA,0.2341
TVAE,"(64, 32)",CUDA,0.2466
TVAE,"(64, 32)",CUDA,0.2444
TVAE,"(64, 32)",CUDA,0.2281
TVAE,"(64, 32)",CUDA,0.2319
TVAE,"(64, 32)",CUDA,0.2339
TVAE,"(64, 32)",CUDA,0.256
TVAE,"(64, 32)",CUDA,0.225
TVAE,"(64, 32)",CUDA,0.2223
TVAE,"(64, 32)",CUDA,0.2214
TVAE,"(64, 32)",CUDA,0.2482
TVAE,"(64, 32)",CUDA,0.2237
TVAE,"(64, 32)",CUDA,0.2268
TVAE,"(64, 32)",CUDA,0.2282
TVAE,"(64, 32)",CUDA,0.2295
TVAE,"(64, 32)",CUDA,0.2604
TVAE,"(64, 32)",CUDA,0.2256
TVAE,"(64, 32)",CUDA,0.2246
TVAE,"(64, 32)",CUDA,0.2238
TVAE,"(64, 32)",CUDA,0.2519
TVAE,"(64, 32)",CUDA,0.2267
TVAE,"(64, 32)",CUDA,0.23
TVAE,"(64, 32)",CUDA,0.2265
TVAE,"(64, 32)",CUDA,0.251
TVAE,"(64, 32)",CUDA,0.2257
TVAE,"(64, 32)",CUDA,0.2339
TVAE,"(64, 32)",CUDA,0.2315
TVAE,"(64, 32)",CUDA,0.2381
TVAE,"(64, 32)",CUDA,0.25
TVAE,"(64, 32)",CUDA,0.2323
TVAE,"(64, 32)",CUDA,0.2319
TVAE,"(64, 32)",CUDA,0.2294
TVAE,"(64, 32)",CUDA,0.2915
TVAE,"(64, 32)",CUDA,0.2381
TVAE,"(64, 32)",CUDA,0.2247
TVAE,"(64, 32)",CUDA,0.2331
TVAE,"(64, 32)",CUDA,0.2693
TVAE,"(64, 32)",CUDA,0.2544
TVAE,"(64, 32)",CUDA,0.2403
TVAE,"(64, 32)",CUDA,0.2511
TVAE,"(64, 32)",CUDA,0.3232
TVAE,"(64, 32)",CUDA,0.5517
TVAE,"(64, 32)",CUDA,0.505
TVAE,"(64, 32)",CUDA,0.3804
TVAE,"(64, 32)",CUDA,0.2645
TVAE,"(64, 32)",CUDA,0.2749
TVAE,"(64, 32)",CUDA,0.2847
TVAE,"(64, 32)",CUDA,0.2428
TVAE,"(64, 32)",CUDA,0.2707
TVAE,"(64, 32)",CUDA,0.2821
TVAE,"(64, 32)",CUDA,0.2679
TVAE,"(64, 32)",CUDA,0.2605
TVAE,"(64, 32)",CUDA,0.4791
TVAE,"(64, 32)",CUDA,0.2833
TVAE,"(64, 32)",CUDA,0.2768
TVAE,"(64, 32)",CUDA,0.2533
TVAE,"(64, 32)",CUDA,0.2792
TVAE,"(64, 32)",CUDA,0.25
TVAE,"(64, 32)",CUDA,0.2871
TVAE,"(64, 32)",CUDA,0.2897
TVAE,"(64, 32)",CUDA,0.3081
TVAE,"(64, 32)",CUDA,0.2611
TVAE,"(64, 32)",CUDA,0.2474
TVAE,"(64, 32)",CUDA,0.2668
TVAE,"(64, 32)",CUDA,0.2881
TVAE,"(64, 32)",CUDA,0.2668
TVAE,"(64, 32)",CUDA,0.3183
TVAE,"(64, 32)",CUDA,0.3609
TVAE,"(64, 32)",CUDA,0.2406
TVAE,"(64, 32)",CUDA,0.2648
TVAE,"(64, 32)",CUDA,0.3689
TVAE,"(64, 32)",CUDA,0.3166
TVAE,"(64, 32)",CUDA,0.294
TVAE,"(64, 32)",CUDA,0.2563
TVAE,"(64, 32)",CUDA,0.2851
TVAE,"(64, 32)",CUDA,0.2663
TVAE,"(64, 32)",CUDA,0.2639
TVAE,"(64, 32)",CUDA,0.2767
TVAE,"(64, 32)",CUDA,0.2877
TVAE,"(64, 32)",CUDA,0.3176
TVAE,"(64, 32)",CUDA,0.2876
TVAE,"(64, 32)",CUDA,0.2849
TVAE,"(64, 32)",CUDA,0.3096
TVAE,"(64, 32)",CUDA,0.3021
TVAE,"(64, 32)",CUDA,0.3069
TVAE,"(64, 32)",CUDA,0.3424
TVAE,"(64, 32)",CUDA,0.281
TVAE,"(64, 32)",CUDA,0.3056
TVAE,"(64, 32)",CUDA,0.3034
TVAE,"(64, 32)",CUDA,0.2689
TVAE,"(64, 32)",CUDA,0.2673
TVAE,"(64, 32)",CUDA,0.3155
TVAE,"(64, 32)",CUDA,0.307
TVAE,"(64, 32)",CUDA,0.291
TVAE,"(64, 32)",CUDA,0.2671
TVAE,"(64, 32)",CUDA,0.2972
TVAE,"(64, 32)",CUDA,0.291
TVAE,"(64, 32)",CUDA,0.3156
TVAE,"(64, 32)",CUDA,0.3225
TVAE,"(64, 32)",CUDA,0.2851
TVAE,"(64, 32)",CUDA,0.2709
TVAE,"(64, 32)",CUDA,0.2914
TVAE,"(64, 32)",CUDA,0.3345
TVAE,"(64, 32)",CUDA,0.2866
TVAE,"(64, 32)",CUDA,0.2676
TVAE,"(64, 32)",CUDA,0.2926
TVAE,"(64, 32)",CUDA,0.2738
TVAE,"(64, 32)",CUDA,0.2511
TVAE,"(64, 32)",CUDA,0.2663
TVAE,"(64, 32)",CUDA,0.2889
TVAE,"(64, 32)",CUDA,0.2653
TVAE,"(64, 32)",CUDA,0.2629
TVAE,"(64, 32)",CUDA,0.2932
TVAE,"(64, 32)",CUDA,0.2994
TVAE,"(64, 32)",CUDA,0.2909
TVAE,"(64, 32)",CUDA,0.2761
TVAE,"(64, 32)",CUDA,0.3249
TVAE,"(64, 32)",CUDA,0.2768
TVAE,"(64, 32)",CUDA,0.257
TVAE,"(64, 32)",CUDA,0.2652
TVAE,"(64, 32)",CUDA,0.2846
TVAE,"(64, 32)",CUDA,0.2604
TVAE,"(64, 32)",CUDA,0.2499
TVAE,"(64, 32)",CUDA,0.254
TVAE,"(64, 32)",CUDA,0.2778
TVAE,"(64, 32)",CUDA,0.2577
TVAE,"(64, 32)",CUDA,0.2625
TVAE,"(64, 32)",CUDA,0.2609
TVAE,"(64, 32)",CUDA,0.3061
TVAE,"(64, 32)",CUDA,0.3176
TVAE,"(64, 32)",CUDA,0.3118
TVAE,"(64, 32)",CUDA,0.2877
TVAE,"(64, 32)",CUDA,0.3083
TVAE,"(64, 32)",CUDA,0.2848
TVAE,"(64, 32)",CUDA,0.2661
TVAE,"(64, 32)",CUDA,0.2867
TVAE,"(64, 32)",CUDA,0.2661
TVAE,"(64, 32)",CUDA,0.2689
TVAE,"(64, 32)",CUDA,0.2842
TVAE,"(64, 32)",CUDA,0.2711
TVAE,"(64, 32)",CUDA,0.2702
TVAE,"(64, 32)",CUDA,0.2631
TVAE,"(64, 32)",CUDA,0.2774
TVAE,"(64, 32)",CUDA,0.2831
TVAE,"(64, 32)",CUDA,0.258
TVAE,"(64, 32)",CUDA,0.2779
TVAE,"(64, 32)",CUDA,0.2849
TVAE,"(64, 32)",CUDA,0.2557
TVAE,"(64, 32)",CUDA,0.2652
TVAE,"(64, 32)",CUDA,0.2872
TVAE,"(64, 32)",CUDA,0.2615
TVAE,"(64, 32)",CUDA,0.266
TVAE,"(64, 32)",CUDA,0.2806
TVAE,"(64, 32)",CUDA,0.3253
TVAE,"(64, 32)",CUDA,0.2959
TVAE,"(64, 32)",CUDA,0.2676
TVAE,"(64, 32)",CUDA,0.2794
TVAE,"(64, 32)",CUDA,0.3172
TVAE,"(64, 32)",CUDA,0.2793
TVAE,"(64, 32)",CUDA,0.2625
TVAE,"(64, 32)",CUDA,0.2759
TVAE,"(64, 32)",CUDA,0.2604
TVAE,"(64, 32)",CUDA,0.2895
TVAE,"(64, 32)",CUDA,0.3199
TVAE,"(64, 32)",CUDA,0.3182
TVAE,"(64, 32)",CUDA,0.2817
TVAE,"(64, 32)",CUDA,0.2803
TVAE,"(64, 32)",CUDA,0.2987
TVAE,"(64, 32)",CUDA,0.2762
TVAE,"(64, 32)",CUDA,0.2539
TVAE,"(64, 32)",CUDA,0.2519
TVAE,"(64, 32)",CUDA,0.2907
TVAE,"(64, 32)",CUDA,0.2523
TVAE,"(64, 32)",CUDA,0.2673
TVAE,"(64, 32)",CUDA,0.2929
TVAE,"(64, 32)",CUDA,0.2946
TVAE,"(64, 32)",CUDA,0.2794
TVAE,"(64, 32)",CUDA,0.2575
TVAE,"(64, 32)",CUDA,0.3073
TVAE,"(64, 32)",CUDA,0.2597
TVAE,"(64, 32)",CUDA,0.2624
TVAE,"(64, 32)",CUDA,0.2586
TVAE,"(64, 32)",CUDA,0.2865
TVAE,"(64, 32)",CUDA,0.2652
TVAE,"(64, 32)",CUDA,0.2676
TVAE,"(64, 32)",CUDA,0.2898
TVAE,"(64, 32)",CUDA,0.2827
TVAE,"(64, 32)",CUDA,0.2623
TVAE,"(64, 32)",CUDA,0.2928
TVAE,"(64, 32)",CUDA,0.2951
TVAE,"(64, 32)",CUDA,0.2595
TVAE,"(64, 32)",CUDA,0.2626
TVAE,"(64, 32)",CUDA,0.2538
TVAE,"(64, 32)",CUDA,0.2835
TVAE,"(64, 32)",CUDA,0.2611
TVAE,"(64, 32)",CUDA,0.2633
TVAE,"(64, 32)",CUDA,0.2746
TVAE,"(64, 32)",CUDA,0.28
TVAE,"(64, 32)",CUDA,0.2681
TVAE,"(64, 32)",CUDA,0.2613
TVAE,"(64, 32)",CUDA,0.2741
TVAE,"(64, 32)",CUDA,0.2914
TVAE,"(64, 32)",CUDA,0.2995
TVAE,"(64, 32)",CUDA,0.2623
TVAE,"(64, 32)",CUDA,0.2767
TVAE,"(64, 32)",CUDA,0.2795
TVAE,"(64, 32)",CUDA,0.2674
TVAE,"(64, 32)",CUDA,0.2815
TVAE,"(64, 32)",CUDA,0.2781
TVAE,"(64, 32)",CUDA,0.2718
TVAE,"(64, 32)",CUDA,0.2642
TVAE,"(64, 32)",CUDA,0.2666
TVAE,"(64, 32)",CUDA,0.3067
TVAE,"(64, 32)",CUDA,0.2632
TVAE,"(64, 32)",CUDA,0.2674
TVAE,"(64, 32)",CUDA,0.2966
TVAE,"(64, 32)",CUDA,0.2737
TVAE,"(64, 32)",CUDA,0.2664
TVAE,"(64, 32)",CUDA,0.2582
TVAE,"(64, 32)",CUDA,0.2877
TVAE,"(64, 32)",CUDA,0.2677
TVAE,"(64, 32)",CUDA,0.2604
TVAE,"(64, 32)",CUDA,0.2701
TVAE,"(64, 32)",CUDA,0.299
TVAE,"(64, 32)",CUDA,0.2616
TVAE,"(64, 32)",CUDA,0.2637
TVAE,"(64, 32)",CUDA,0.3075
TVAE,"(64, 32)",CUDA,0.2809
TVAE,"(64, 32)",CUDA,0.2599
TVAE,"(64, 32)",CUDA,0.2709
TVAE,"(64, 32)",CUDA,0.2926
TVAE,"(64, 32)",CUDA,0.2984
TVAE,"(64, 32)",CUDA,0.2918
TVAE,"(64, 32)",CUDA,0.3291
TVAE,"(64, 32)",CUDA,0.2873
TVAE,"(64, 32)",CUDA,0.2947
TVAE,"(64, 32)",CUDA,0.2779
TVAE,"(64, 32)",CUDA,0.3069
TVAE,"(64, 32)",CUDA,0.2964
TVAE,"(64, 32)",CUDA,0.2877
TVAE,"(64, 32)",CUDA,0.2896
TVAE,"(64, 32)",CUDA,0.3356
TVAE,"(64, 32)",CUDA,0.3166
TVAE,"(64, 32)",CUDA,0.3306
TVAE,"(64, 32)",CUDA,0.3013
TVAE,"(64, 32)",CUDA,0.2817
TVAE,"(64, 32)",CUDA,0.2629
TVAE,"(64, 32)",CUDA,0.2831
TVAE,"(64, 32)",CUDA,0.2658
TVAE,"(64, 32)",CUDA,0.2722
TVAE,"(64, 32)",CUDA,0.2498
TVAE,"(64, 32)",CUDA,0.3323
TVAE,"(64, 32)",CUDA,0.2906
TVAE,"(64, 32)",CUDA,0.2903
TVAE,"(64, 32)",CUDA,0.3135
TVAE,"(64, 32)",CUDA,0.3354
TVAE,"(64, 32)",CUDA,0.2789
TVAE,"(64, 32)",CUDA,0.3185
TVAE,"(64, 32)",CUDA,0.3166
TVAE,"(64, 32)",CUDA,0.3128
TVAE,"(64, 32)",CUDA,0.2869
TVAE,"(64, 32)",CUDA,0.3029
TVAE,"(64, 32)",CUDA,0.3049
TVAE,"(64, 32)",CUDA,0.2857
TVAE,"(64, 32)",CUDA,0.3448
TVAE,"(64, 32)",CUDA,0.2943
TVAE,"(64, 32)",CUDA,0.2862
TVAE,"(64, 32)",CUDA,0.2384
TVAE,"(64, 32)",CUDA,0.2479
TVAE,"(64, 32)",CUDA,0.306
TVAE,"(64, 32)",CUDA,0.3328
TVAE,"(64, 32)",CUDA,0.2933
TVAE,"(64, 32)",CUDA,0.2966
