symbolic_formula,modelo,arquitectura,tiempo
0,TVAE,16-8,5.412707105278969e-05
0,TVAE,16-8,1.7412006855010986e-05
0,TVAE,16-8,1.6996171325445175e-05
0,TVAE,16-8,1.6857869923114777e-05
0,TVAE,16-8,1.680385321378708e-05
0,TVAE,16-8,1.6781035810709e-05
0,TVAE,16-8,1.6758916899561882e-05
0,TVAE,16-8,1.6632024198770523e-05
0,TVAE,16-8,1.6645994037389755e-05
0,TVAE,16-8,1.67239923030138e-05
0,TVAE,16-8,1.665297895669937e-05
0,TVAE,16-8,1.6827136278152466e-05
0,TVAE,16-8,1.6734004020690918e-05
0,TVAE,16-8,1.685088500380516e-05
0,TVAE,16-8,1.6707926988601685e-05
0,TVAE,16-8,1.675705425441265e-05
0,TVAE,16-8,1.671607606112957e-05
0,TVAE,16-8,1.6769161447882652e-05
0,TVAE,16-8,1.6691861674189568e-05
0,TVAE,16-8,1.6724923625588417e-05
0,TVAE,16-8,1.6774050891399384e-05
0,TVAE,16-8,1.677684485912323e-05
0,TVAE,16-8,1.6688834875822067e-05
0,TVAE,16-8,1.6685109585523605e-05
0,TVAE,16-8,1.6757985576987267e-05
0,TVAE,16-8,1.671304926276207e-05
0,TVAE,16-8,1.6705133020877838e-05
0,TVAE,16-8,1.6721896827220917e-05
0,TVAE,16-8,1.6722828149795532e-05
0,TVAE,16-8,1.666904427111149e-05
0,TVAE,16-8,1.6748206689953804e-05
0,TVAE,16-8,1.6706064343452454e-05
0,TVAE,16-8,1.6726087778806686e-05
0,TVAE,16-8,1.671304926276207e-05
0,TVAE,16-8,1.67780090123415e-05
0,TVAE,16-8,1.6703037545084953e-05
0,TVAE,16-8,3.229686990380287e-05
0,TVAE,16-8,1.7313985154032707e-05
0,TVAE,16-8,1.6813864931464195e-05
0,TVAE,16-8,1.675705425441265e-05
0,TVAE,16-8,1.687789335846901e-05
0,TVAE,16-8,1.6694888472557068e-05
0,TVAE,16-8,1.668115146458149e-05
0,TVAE,16-8,1.6799895092844963e-05
0,TVAE,16-8,1.6925157979130745e-05
0,TVAE,16-8,1.675705425441265e-05
0,TVAE,16-8,1.675286330282688e-05
0,TVAE,16-8,1.6693957149982452e-05
0,TVAE,16-8,1.6815029084682465e-05
0,TVAE,16-8,1.6731908544898033e-05
0,TVAE,16-8,1.6666017472743988e-05
0,TVAE,16-8,1.6748905181884766e-05
0,TVAE,16-8,1.6740988940000534e-05
0,TVAE,16-8,1.671118661761284e-05
0,TVAE,16-8,1.668301410973072e-05
0,TVAE,16-8,1.6816891729831696e-05
0,TVAE,16-8,1.67901162058115e-05
0,TVAE,16-8,1.687603071331978e-05
0,TVAE,16-8,1.6706064343452454e-05
0,TVAE,16-8,1.6805017367005348e-05
0,TVAE,16-8,1.67058315128088e-05
0,TVAE,16-8,1.6767997294664383e-05
0,TVAE,16-8,1.6818055883049965e-05
0,TVAE,16-8,1.6731908544898033e-05
0,TVAE,16-8,1.6751931980252266e-05
0,TVAE,16-8,1.6816891729831696e-05
0,TVAE,16-8,1.6833189874887466e-05
0,TVAE,16-8,1.6739824786782265e-05
0,TVAE,16-8,1.675519160926342e-05
0,TVAE,16-8,1.6707926988601685e-05
0,TVAE,16-8,1.6937963664531708e-05
0,TVAE,16-8,1.694587990641594e-05
0,TVAE,16-8,1.6798032447695732e-05
0,TVAE,16-8,1.6807811334729195e-05
0,TVAE,16-8,1.688208431005478e-05
0,TVAE,16-8,1.6856007277965546e-05
0,TVAE,16-8,1.6737962141633034e-05
0,TVAE,16-8,1.6954028978943825e-05
0,TVAE,16-8,1.6843201592564583e-05
0,TVAE,16-8,1.6982201486825943e-05
0,TVAE,16-8,1.6827136278152466e-05
0,TVAE,16-8,1.6954028978943825e-05
0,TVAE,16-8,1.677614636719227e-05
0,TVAE,16-8,1.6801059246063232e-05
0,TVAE,16-8,1.702713780105114e-05
0,TVAE,16-8,1.6962876543402672e-05
0,TVAE,16-8,1.675216481089592e-05
0,TVAE,16-8,1.7026904970407486e-05
0,TVAE,16-8,1.680082641541958e-05
0,TVAE,16-8,1.6781035810709e-05
0,TVAE,16-8,1.6771024093031883e-05
0,TVAE,16-8,1.6750069335103035e-05
0,TVAE,16-8,1.676008105278015e-05
0,TVAE,16-8,3.262213431298733e-05
0,TVAE,16-8,4.9310969188809395e-05
0,TVAE,16-8,4.886486567556858e-05
0,TVAE,16-8,4.866998642683029e-05
0,TVAE,16-8,4.8764050006866455e-05
0,TVAE,16-8,3.9880163967609406e-05
0,TVAE,16-8,1.7188023775815964e-05
0,TVAE,16-8,1.682201400399208e-05
0,TVAE,16-8,1.6896985471248627e-05
0,TVAE,16-8,1.6690930351614952e-05
0,TVAE,16-8,1.718895509839058e-05
0,TVAE,16-8,1.7727026715874672e-05
0,TVAE,16-8,1.7452053725719452e-05
0,TVAE,16-8,1.754891127347946e-05
0,TVAE,16-8,1.7022015526890755e-05
0,TVAE,16-8,1.6872072592377663e-05
0,TVAE,16-8,1.6777776181697845e-05
0,TVAE,16-8,1.6788020730018616e-05
