symbolic_formula,modelo,arquitectura,tiempo
0,CTGAN,10-5,9.534577839076519e-05
0,CTGAN,10-5,5.677901208400726e-05
0,CTGAN,10-5,5.541904829442501e-05
0,CTGAN,10-5,5.5492157116532326e-05
0,CTGAN,10-5,5.5666081607341766e-05
0,CTGAN,10-5,5.640392191708088e-05
0,CTGAN,10-5,5.686795338988304e-05
0,CTGAN,10-5,5.599413998425007e-05
0,CTGAN,10-5,6.029009819030762e-05
0,CTGAN,10-5,5.567003972828388e-05
0,CTGAN,10-5,5.585886538028717e-05
0,CTGAN,10-5,5.565793253481388e-05
0,CTGAN,10-5,5.584699101746082e-05
0,CTGAN,10-5,5.552382208406925e-05
0,CTGAN,10-5,5.5965036153793335e-05
0,CTGAN,10-5,5.547190085053444e-05
0,CTGAN,10-5,5.542603321373463e-05
0,CTGAN,10-5,5.5267009884119034e-05
0,CTGAN,10-5,5.535711534321308e-05
0,CTGAN,10-5,5.501694977283478e-05
0,CTGAN,10-5,5.588307976722717e-05
0,CTGAN,10-5,5.515408702194691e-05
0,CTGAN,10-5,5.5148033425211906e-05
0,CTGAN,10-5,5.539203993976116e-05
0,CTGAN,10-5,5.53070567548275e-05
0,CTGAN,10-5,5.538691766560078e-05
0,CTGAN,10-5,5.845213308930397e-05
0,CTGAN,10-5,5.551893264055252e-05
0,CTGAN,10-5,5.5456068366765976e-05
0,CTGAN,10-5,5.546282045543194e-05
0,CTGAN,10-5,5.56381419301033e-05
0,CTGAN,10-5,5.539297126233578e-05
0,CTGAN,10-5,5.565304309129715e-05
0,CTGAN,10-5,5.5622076615691185e-05
0,CTGAN,10-5,5.556107498705387e-05
0,CTGAN,10-5,5.55599108338356e-05
0,CTGAN,10-5,5.56230079382658e-05
0,CTGAN,10-5,5.577597767114639e-05
0,CTGAN,10-5,5.584699101746082e-05
0,CTGAN,10-5,7.791607640683651e-05
0,CTGAN,10-5,5.817413330078125e-05
0,CTGAN,10-5,5.684304051101208e-05
0,CTGAN,10-5,5.649705417454243e-05
0,CTGAN,10-5,5.93292061239481e-05
0,CTGAN,10-5,5.659298039972782e-05
0,CTGAN,10-5,5.687400698661804e-05
0,CTGAN,10-5,5.722092464566231e-05
0,CTGAN,10-5,5.625607445836067e-05
0,CTGAN,10-5,5.5456068366765976e-05
0,CTGAN,10-5,5.659484304487705e-05
0,CTGAN,10-5,5.722185596823692e-05
0,CTGAN,10-5,5.726190283894539e-05
0,CTGAN,10-5,5.670194514095783e-05
0,CTGAN,10-5,5.629193037748337e-05
0,CTGAN,10-5,5.660206079483032e-05
0,CTGAN,10-5,5.621509626507759e-05
0,CTGAN,10-5,5.66339585930109e-05
0,CTGAN,10-5,5.6309858337044716e-05
0,CTGAN,10-5,5.625886842608452e-05
0,CTGAN,10-5,5.647796206176281e-05
0,CTGAN,10-5,5.6486111134290695e-05
0,CTGAN,10-5,5.91878779232502e-05
0,CTGAN,10-5,5.67419920116663e-05
0,CTGAN,10-5,5.6200893595814705e-05
0,CTGAN,10-5,5.635898560285568e-05
0,CTGAN,10-5,5.6058866903185844e-05
0,CTGAN,10-5,5.588820204138756e-05
0,CTGAN,10-5,5.604187026619911e-05
0,CTGAN,10-5,5.5786920711398125e-05
0,CTGAN,10-5,5.584093742072582e-05
0,CTGAN,10-5,5.588703788816929e-05
0,CTGAN,10-5,5.6244898587465286e-05
0,CTGAN,10-5,5.626608617603779e-05
0,CTGAN,10-5,5.570496432483196e-05
0,CTGAN,10-5,5.640694871544838e-05
0,CTGAN,10-5,5.5802054703235626e-05
0,CTGAN,10-5,5.585700273513794e-05
0,CTGAN,10-5,5.5724987760186195e-05
0,CTGAN,10-5,7.613212801516056e-05
0,CTGAN,10-5,5.729193799197674e-05
0,CTGAN,10-5,5.633290857076645e-05
0,CTGAN,10-5,5.622906610369682e-05
0,CTGAN,10-5,5.721207708120346e-05
0,CTGAN,10-5,0.00010538287460803986
0,CTGAN,10-5,5.601299926638603e-05
0,CTGAN,10-5,5.597202107310295e-05
0,CTGAN,10-5,5.6037912145256996e-05
0,CTGAN,10-5,5.571101792156696e-05
0,CTGAN,10-5,5.5616023018956184e-05
0,CTGAN,10-5,6.055994890630245e-05
0,CTGAN,10-5,8.872989565134048e-05
0,CTGAN,10-5,0.00011636200360953808
0,CTGAN,10-5,0.00011224509216845036
0,CTGAN,10-5,5.7236989960074425e-05
0,CTGAN,10-5,5.6369928643107414e-05
0,CTGAN,10-5,5.684001371264458e-05
0,CTGAN,10-5,5.648704245686531e-05
0,CTGAN,10-5,5.575106479227543e-05
0,CTGAN,10-5,5.5724987760186195e-05
0,CTGAN,10-5,5.551404319703579e-05
0,CTGAN,10-5,5.5751996114850044e-05
0,CTGAN,10-5,5.483487620949745e-05
0,CTGAN,10-5,5.4819975048303604e-05
0,CTGAN,10-5,5.4623931646347046e-05
0,CTGAN,10-5,5.4786913096904755e-05
0,CTGAN,10-5,5.462905392050743e-05
0,CTGAN,10-5,5.4243020713329315e-05
0,CTGAN,10-5,5.4611824452877045e-05
0,CTGAN,10-5,5.5350130423903465e-05
0,CTGAN,10-5,5.601602606475353e-05
0,CTGAN,10-5,6.308197043836117e-05
0,CTGAN,10-5,5.521788261830807e-05
0,CTGAN,10-5,5.440087988972664e-05
0,CTGAN,10-5,5.433894693851471e-05
0,CTGAN,10-5,5.422811955213547e-05
0,CTGAN,10-5,5.4169911891222e-05
0,CTGAN,10-5,5.407002754509449e-05
0,CTGAN,10-5,5.427398718893528e-05
0,CTGAN,10-5,5.404907278716564e-05
0,CTGAN,10-5,5.4295873269438744e-05
0,CTGAN,10-5,5.4131029173731804e-05
0,CTGAN,10-5,5.418900400400162e-05
0,CTGAN,10-5,5.432893522083759e-05
0,CTGAN,10-5,5.4031843319535255e-05
0,CTGAN,10-5,5.4141972213983536e-05
0,CTGAN,10-5,5.415501073002815e-05
0,CTGAN,10-5,5.4070958867669106e-05
0,CTGAN,10-5,5.415501073002815e-05
0,CTGAN,10-5,5.708308890461922e-05
0,CTGAN,10-5,5.437317304313183e-05
0,CTGAN,10-5,5.4039061069488525e-05
0,CTGAN,10-5,5.4307980462908745e-05
0,CTGAN,10-5,5.4009025916457176e-05
0,CTGAN,10-5,5.4051168262958527e-05
0,CTGAN,10-5,5.413219332695007e-05
0,CTGAN,10-5,5.411705933511257e-05
0,CTGAN,10-5,5.401810631155968e-05
0,CTGAN,10-5,5.426490679383278e-05
0,CTGAN,10-5,5.4141972213983536e-05
0,CTGAN,10-5,5.4230913519859314e-05
0,CTGAN,10-5,5.437084473669529e-05
0,CTGAN,10-5,5.5440934374928474e-05
0,CTGAN,10-5,5.6066084653139114e-05
0,CTGAN,10-5,5.5698212236166e-05
0,CTGAN,10-5,5.488283932209015e-05
0,CTGAN,10-5,5.413987673819065e-05
0,CTGAN,10-5,5.687517113983631e-05
0,CTGAN,10-5,5.523115396499634e-05
0,CTGAN,10-5,5.536805838346481e-05
0,CTGAN,10-5,5.463790148496628e-05
0,CTGAN,10-5,5.458504892885685e-05
0,CTGAN,10-5,5.4453033953905106e-05
0,CTGAN,10-5,5.453405901789665e-05
0,CTGAN,10-5,5.491101182997227e-05
