Model,Architecture,Device,Type,Mean_Time_seconds
TVAE,"(32, 16)",CUDA,MultKAN,0.253
CTGAN,"(32, 16)",CUDA,classic,0.1025
CTGAN,"(24, 12)",CPU,MultKAN,0.1711
TVAE,"(64, 32)",CUDA,MultKAN,0.2559
TVAE,"(10, 5)",CUDA,classic,0.0349
CTGAN,"(64, 32)",CUDA,classic,0.095
TVAE,"(10, 5)",CPU,classic,0.0362
CTGAN,"(24, 12)",CUDA,MultKAN,0.2834
TVAE,"(64, 32)",CPU,classic,0.0331
CTGAN,"(24, 12)",CUDA,classic,0.1137
CTGAN,"(10, 5)",CPU,classic,0.1347
TVAE,"(32, 16)",CUDA,classic,0.0349
TVAE,"(64, 32)",CUDA,classic,0.0363
TVAE,"(10, 5)",CUDA,MultKAN,0.2772
CTGAN,"(64, 32)",CUDA,MultKAN,0.2587
CTGAN,"(10, 5)",CUDA,classic,0.0931
CTGAN,"(32, 16)",CUDA,MultKAN,0.2895
CTGAN,"(64, 32)",CPU,classic,0.1457
TVAE,"(16, 8)",CPU,classic,0.0324
TVAE,"(32, 16)",CPU,MultKAN,0.3389
CTGAN,"(24, 12)",CPU,classic,0.054
CTGAN,"(10, 5)",CPU,MultKAN,0.1673
CTGAN,"(32, 16)",CPU,classic,0.1397
TVAE,"(16, 8)",CUDA,classic,0.0356
TVAE,"(64, 32)",CPU,MultKAN,0.3543
CTGAN,"(10, 5)",CUDA,MultKAN,0.3051
TVAE,"(10, 5)",CPU,MultKAN,0.2842
CTGAN,"(64, 32)",CPU,MultKAN,0.2567
TVAE,"(16, 8)",CPU,MultKAN,0.2479
TVAE,"(32, 16)",CPU,classic,0.0295
CTGAN,"(32, 16)",CPU,MultKAN,0.2156
TVAE,"(16, 8)",CUDA,MultKAN,0.2622
