symbolic_formula,modelo,arquitectura,tiempo
0,TVAE,10-5,7.990747690200806e-07
0,TVAE,10-5,3.648456186056137e-07
0,TVAE,10-5,2.2491440176963806e-07
0,TVAE,10-5,2.009328454732895e-07
0,TVAE,10-5,1.7206184566020966e-07
0,TVAE,10-5,1.8905848264694214e-07
0,TVAE,10-5,1.7415732145309448e-07
0,TVAE,10-5,1.7113052308559418e-07
0,TVAE,10-5,1.8905848264694214e-07
0,TVAE,10-5,1.8812716007232666e-07
0,TVAE,10-5,1.6600824892520905e-07
0,TVAE,10-5,1.6693957149982452e-07
0,TVAE,10-5,1.6996636986732483e-07
0,TVAE,10-5,1.8812716007232666e-07
0,TVAE,10-5,1.7182901501655579e-07
0,TVAE,10-5,1.6996636986732483e-07
0,TVAE,10-5,1.7206184566020966e-07
0,TVAE,10-5,1.8998980522155762e-07
0,TVAE,10-5,1.7299316823482513e-07
0,TVAE,10-5,1.7206184566020966e-07
0,TVAE,10-5,1.708976924419403e-07
0,TVAE,10-5,1.708976924419403e-07
0,TVAE,10-5,1.8510036170482635e-07
0,TVAE,10-5,1.7182901501655579e-07
0,TVAE,10-5,1.7206184566020966e-07
0,TVAE,10-5,1.708976924419403e-07
0,TVAE,10-5,1.6810372471809387e-07
0,TVAE,10-5,1.8905848264694214e-07
0,TVAE,10-5,2.3888424038887024e-07
0,TVAE,10-5,2.561137080192566e-07
0,TVAE,10-5,1.7508864402770996e-07
0,TVAE,10-5,1.739244908094406e-07
0,TVAE,10-5,2.0489096641540527e-07
0,TVAE,10-5,1.8812716007232666e-07
0,TVAE,10-5,1.739244908094406e-07
0,TVAE,10-5,1.739244908094406e-07
0,TVAE,10-5,1.8998980522155762e-07
0,TVAE,10-5,1.7206184566020966e-07
0,TVAE,10-5,1.7206184566020966e-07
0,TVAE,10-5,1.7113052308559418e-07
0,TVAE,10-5,1.9790604710578918e-07
0,TVAE,10-5,1.9907020032405853e-07
0,TVAE,10-5,2.0512379705905914e-07
0,TVAE,10-5,1.8905848264694214e-07
0,TVAE,10-5,1.869630068540573e-07
0,TVAE,10-5,1.748558133840561e-07
0,TVAE,10-5,1.878943294286728e-07
0,TVAE,10-5,1.73225998878479e-07
0,TVAE,10-5,1.748558133840561e-07
0,TVAE,10-5,1.771841198205948e-07
0,TVAE,10-5,1.8905848264694214e-07
0,TVAE,10-5,1.7299316823482513e-07
0,TVAE,10-5,1.739244908094406e-07
0,TVAE,10-5,1.7415732145309448e-07
0,TVAE,10-5,1.7508864402770996e-07
0,TVAE,10-5,1.7695128917694092e-07
0,TVAE,10-5,1.7695128917694092e-07
0,TVAE,10-5,1.8998980522155762e-07
0,TVAE,10-5,1.739244908094406e-07
0,TVAE,10-5,1.7299316823482513e-07
0,TVAE,10-5,1.7695128917694092e-07
0,TVAE,10-5,1.7299316823482513e-07
0,TVAE,10-5,1.8998980522155762e-07
0,TVAE,10-5,1.7601996660232544e-07
0,TVAE,10-5,1.771841198205948e-07
0,TVAE,10-5,1.7508864402770996e-07
0,TVAE,10-5,1.9301660358905792e-07
0,TVAE,10-5,1.7695128917694092e-07
0,TVAE,10-5,1.7695128917694092e-07
0,TVAE,10-5,1.748558133840561e-07
0,TVAE,10-5,1.8998980522155762e-07
0,TVAE,10-5,1.7601996660232544e-07
0,TVAE,10-5,1.7508864402770996e-07
0,TVAE,10-5,1.7415732145309448e-07
0,TVAE,10-5,1.9208528101444244e-07
0,TVAE,10-5,1.7508864402770996e-07
0,TVAE,10-5,1.739244908094406e-07
0,TVAE,10-5,1.8300488591194153e-07
0,TVAE,10-5,1.7904676496982574e-07
0,TVAE,10-5,1.778826117515564e-07
0,TVAE,10-5,1.748558133840561e-07
0,TVAE,10-5,1.878943294286728e-07
0,TVAE,10-5,1.7508864402770996e-07
0,TVAE,10-5,1.7904676496982574e-07
0,TVAE,10-5,1.7601996660232544e-07
0,TVAE,10-5,1.9301660358905792e-07
0,TVAE,10-5,1.7695128917694092e-07
0,TVAE,10-5,1.771841198205948e-07
0,TVAE,10-5,1.748558133840561e-07
