symbolic_formula,modelo,arquitectura,tiempo
0,CTGAN,24-12,0.0005725349765270948
0,CTGAN,24-12,0.0005485150031745434
0,CTGAN,24-12,0.0005324860103428364
0,CTGAN,24-12,0.0005254740826785564
0,CTGAN,24-12,0.0005491969641298056
0,CTGAN,24-12,0.0005096520762890577
0,CTGAN,24-12,0.0006094309501349926
0,CTGAN,24-12,0.0005100329872220755
0,CTGAN,24-12,0.0005912878550589085
0,CTGAN,24-12,0.000510095851495862
0,CTGAN,24-12,0.0005429000593721867
0,CTGAN,24-12,0.0005084010772407055
0,CTGAN,24-12,0.0005460281390696764
0,CTGAN,24-12,0.000509088858962059
0,CTGAN,24-12,0.0005426770076155663
0,CTGAN,24-12,0.0005286030936986208
0,CTGAN,24-12,0.0005231781397014856
0,CTGAN,24-12,0.0005405950360000134
0,CTGAN,24-12,0.0005078678950667381
0,CTGAN,24-12,0.0005447128787636757
0,CTGAN,24-12,0.0005082630086690187
0,CTGAN,24-12,0.0005415380001068115
0,CTGAN,24-12,0.0005083580035716295
0,CTGAN,24-12,0.0006672770250588655
0,CTGAN,24-12,0.0005112809594720602
0,CTGAN,24-12,0.0005927861202508211
0,CTGAN,24-12,0.0005478220991790295
0,CTGAN,24-12,0.0005243178457021713
0,CTGAN,24-12,0.0005340431816875935
0,CTGAN,24-12,0.000522049842402339
0,CTGAN,24-12,0.0005419799126684666
0,CTGAN,24-12,0.0005090541671961546
0,CTGAN,24-12,0.0005418970249593258
0,CTGAN,24-12,0.0005096469540148973
0,CTGAN,24-12,0.0005449620075523853
0,CTGAN,24-12,0.0005089889746159315
0,CTGAN,24-12,0.0005409058649092913
0,CTGAN,24-12,0.0005081568378955126
0,CTGAN,24-12,0.0005412138998508453
0,CTGAN,24-12,0.0005082199349999428
0,CTGAN,24-12,0.0005134290549904108
0,CTGAN,24-12,0.0005233960691839457
0,CTGAN,24-12,0.00054379110224545
0,CTGAN,24-12,0.0005689978133887053
0,CTGAN,24-12,0.0005217890720814466
0,CTGAN,24-12,0.0005281949415802956
0,CTGAN,24-12,0.0005209550727158785
0,CTGAN,24-12,0.0005264098290354013
0,CTGAN,24-12,0.0005198919679969549
0,CTGAN,24-12,0.0005276601295918226
0,CTGAN,24-12,0.0005201541353017092
0,CTGAN,24-12,0.0005281860940158367
0,CTGAN,24-12,0.0005229280795902014
0,CTGAN,24-12,0.0005310960114002228
0,CTGAN,24-12,0.0005204319022595882
0,CTGAN,24-12,0.00052629504352808
0,CTGAN,24-12,0.0005207359790802002
0,CTGAN,24-12,0.0005270431283861399
0,CTGAN,24-12,0.0006771159823983908
0,CTGAN,24-12,0.0005216188728809357
0,CTGAN,24-12,0.00064426613971591
0,CTGAN,24-12,0.0005217310972511768
0,CTGAN,24-12,0.000525154173374176
0,CTGAN,24-12,0.0005200209561735392
0,CTGAN,24-12,0.0005264400970190763
0,CTGAN,24-12,0.0005197110585868359
0,CTGAN,24-12,0.0005261439364403486
0,CTGAN,24-12,0.0005207350477576256
0,CTGAN,24-12,0.0005241751205176115
0,CTGAN,24-12,0.000519914086908102
0,CTGAN,24-12,0.0005254140123724937
0,CTGAN,24-12,0.0005190980155020952
0,CTGAN,24-12,0.0005249488167464733
0,CTGAN,24-12,0.0005265809595584869
0,CTGAN,24-12,0.000519556924700737
0,CTGAN,24-12,0.0005797308403998613
0,CTGAN,24-12,0.0005225120112299919
0,CTGAN,24-12,0.0006224890239536762
0,CTGAN,24-12,0.0005373808089643717
0,CTGAN,24-12,0.0005288340616971254
0,CTGAN,24-12,0.0005211471579968929
0,CTGAN,24-12,0.0005258910823613405
0,CTGAN,24-12,0.000524918083101511
0,CTGAN,24-12,0.0005426241550594568
0,CTGAN,24-12,0.0005089051555842161
0,CTGAN,24-12,0.0005428050644695759
0,CTGAN,24-12,0.0005718970205634832
0,CTGAN,24-12,0.0005096639506518841
0,CTGAN,24-12,0.0005466379225254059
0,CTGAN,24-12,0.0005088842008262873
0,CTGAN,24-12,0.0005421710666269064
0,CTGAN,24-12,0.0005094239022582769
0,CTGAN,24-12,0.0005416660569608212
0,CTGAN,24-12,0.0005243569612503052
0,CTGAN,24-12,0.0005434670019894838
0,CTGAN,24-12,0.0005780931096524
0,CTGAN,24-12,0.0005488030146807432
0,CTGAN,24-12,0.0005144830793142319
0,CTGAN,24-12,0.0005480737891048193
0,CTGAN,24-12,0.0005339519120752811
0,CTGAN,24-12,0.0005274880677461624
0,CTGAN,24-12,0.0005473338533192873
0,CTGAN,24-12,0.0005113529041409492
0,CTGAN,24-12,0.0005455128848552704
0,CTGAN,24-12,0.0005148688796907663
0,CTGAN,24-12,0.0005451550241559744
0,CTGAN,24-12,0.000509616918861866
0,CTGAN,24-12,0.0005450870376080275
0,CTGAN,24-12,0.0005092918872833252
0,CTGAN,24-12,0.0005407419521361589
0,CTGAN,24-12,0.0005261190235614777
0,CTGAN,24-12,0.0005532810464501381
0,CTGAN,24-12,0.0006582250352948904
0,CTGAN,24-12,0.0005167610943317413
0,CTGAN,24-12,0.0005453871563076973
0,CTGAN,24-12,0.0005160868167877197
0,CTGAN,24-12,0.0005503341089934111
0,CTGAN,24-12,0.0005158558487892151
0,CTGAN,24-12,0.0005490679759532213
0,CTGAN,24-12,0.0005103792063891888
0,CTGAN,24-12,0.0005485368892550468
0,CTGAN,24-12,0.0005125461611896753
0,CTGAN,24-12,0.0005468251183629036
0,CTGAN,24-12,0.0005118569824844599
0,CTGAN,24-12,0.0005448679439723492
0,CTGAN,24-12,0.0005117200780659914
0,CTGAN,24-12,0.0005469159223139286
0,CTGAN,24-12,0.0005959200207144022
0,CTGAN,24-12,0.0005109100602567196
0,CTGAN,24-12,0.0005650760140269995
0,CTGAN,24-12,0.0005285118240863085
0,CTGAN,24-12,0.0005487059243023396
0,CTGAN,24-12,0.0005120621062815189
0,CTGAN,24-12,0.0005461981054395437
0,CTGAN,24-12,0.000501703005284071
0,CTGAN,24-12,0.0005349030252546072
0,CTGAN,24-12,0.0005046669393777847
0,CTGAN,24-12,0.0005432311445474625
0,CTGAN,24-12,0.0005099850241094828
0,CTGAN,24-12,0.0005471280310302973
0,CTGAN,24-12,0.0005087789613753557
0,CTGAN,24-12,0.0005387051496654749
0,CTGAN,24-12,0.0005250899121165276
0,CTGAN,24-12,0.0005149021744728088
0,CTGAN,24-12,0.0006599999032914639
0,CTGAN,24-12,0.0005143398884683847
0,CTGAN,24-12,0.0005390809383243322
0,CTGAN,24-12,0.0005615430418401957
0,CTGAN,24-12,0.0005457550287246704
0,CTGAN,24-12,0.0005010559689253569
0,CTGAN,24-12,0.0005345400422811508
0,CTGAN,24-12,0.0005012149922549725
0,CTGAN,24-12,0.0005348259583115578
0,CTGAN,24-12,0.000499639892950654
0,CTGAN,24-12,0.0005358238704502583
0,CTGAN,24-12,0.0005276917945593596
0,CTGAN,24-12,0.0005139149725437164
0,CTGAN,24-12,0.0005336538888514042
0,CTGAN,24-12,0.0005049179308116436
0,CTGAN,24-12,0.0005617411807179451
0,CTGAN,24-12,0.0005106460303068161
0,CTGAN,24-12,0.0005478467792272568
0,CTGAN,24-12,0.0005228698719292879
0,CTGAN,24-12,0.0005383091047406197
0,CTGAN,24-12,0.0006724961567670107
0,CTGAN,24-12,0.0005761450156569481
0,CTGAN,24-12,0.0005205220077186823
0,CTGAN,24-12,0.0005147850606590509
0,CTGAN,24-12,0.0005356171168386936
