Model,Architecture,Device,Time_seconds
TVAE,"(10, 5)",CPU,0.0352
TVAE,"(10, 5)",CPU,0.0355
TVAE,"(10, 5)",CPU,0.0345
TVAE,"(10, 5)",CPU,0.0337
TVAE,"(10, 5)",CPU,0.0334
TVAE,"(10, 5)",CPU,0.0389
TVAE,"(10, 5)",CPU,0.0351
TVAE,"(10, 5)",CPU,0.0374
TVAE,"(10, 5)",CPU,0.0361
TVAE,"(10, 5)",CPU,0.039
TVAE,"(10, 5)",CPU,0.0368
TVAE,"(10, 5)",CPU,0.0337
TVAE,"(10, 5)",CPU,0.0359
TVAE,"(10, 5)",CPU,0.0376
TVAE,"(10, 5)",CPU,0.0369
TVAE,"(10, 5)",CPU,0.0365
TVAE,"(10, 5)",CPU,0.0377
TVAE,"(10, 5)",CPU,0.0363
TVAE,"(10, 5)",CPU,0.0361
TVAE,"(10, 5)",CPU,0.0448
TVAE,"(10, 5)",CPU,0.0615
TVAE,"(10, 5)",CPU,0.0373
TVAE,"(10, 5)",CPU,0.0347
TVAE,"(10, 5)",CPU,0.0336
TVAE,"(10, 5)",CPU,0.0338
TVAE,"(10, 5)",CPU,0.0336
TVAE,"(10, 5)",CPU,0.0346
TVAE,"(10, 5)",CPU,0.0361
TVAE,"(10, 5)",CPU,0.0393
TVAE,"(10, 5)",CPU,0.0373
TVAE,"(10, 5)",CPU,0.0377
TVAE,"(10, 5)",CPU,0.0431
TVAE,"(10, 5)",CPU,0.0399
TVAE,"(10, 5)",CPU,0.0366
TVAE,"(10, 5)",CPU,0.0337
TVAE,"(10, 5)",CPU,0.0379
TVAE,"(10, 5)",CPU,0.0363
TVAE,"(10, 5)",CPU,0.0349
TVAE,"(10, 5)",CPU,0.0362
TVAE,"(10, 5)",CPU,0.0355
TVAE,"(10, 5)",CPU,0.0345
TVAE,"(10, 5)",CPU,0.0345
TVAE,"(10, 5)",CPU,0.034
TVAE,"(10, 5)",CPU,0.0344
TVAE,"(10, 5)",CPU,0.0341
TVAE,"(10, 5)",CPU,0.0333
TVAE,"(10, 5)",CPU,0.034
TVAE,"(10, 5)",CPU,0.0402
TVAE,"(10, 5)",CPU,0.0548
TVAE,"(10, 5)",CPU,0.0357
TVAE,"(10, 5)",CPU,0.0336
TVAE,"(10, 5)",CPU,0.0332
TVAE,"(10, 5)",CPU,0.033
TVAE,"(10, 5)",CPU,0.0334
TVAE,"(10, 5)",CPU,0.033
TVAE,"(10, 5)",CPU,0.0332
TVAE,"(10, 5)",CPU,0.0356
TVAE,"(10, 5)",CPU,0.0345
TVAE,"(10, 5)",CPU,0.0331
TVAE,"(10, 5)",CPU,0.035
TVAE,"(10, 5)",CPU,0.0336
TVAE,"(10, 5)",CPU,0.034
TVAE,"(10, 5)",CPU,0.0336
TVAE,"(10, 5)",CPU,0.0327
TVAE,"(10, 5)",CPU,0.0335
TVAE,"(10, 5)",CPU,0.0335
TVAE,"(10, 5)",CPU,0.033
TVAE,"(10, 5)",CPU,0.033
TVAE,"(10, 5)",CPU,0.0333
TVAE,"(10, 5)",CPU,0.0334
TVAE,"(10, 5)",CPU,0.0339
TVAE,"(10, 5)",CPU,0.0336
TVAE,"(10, 5)",CPU,0.0487
TVAE,"(10, 5)",CPU,0.034
TVAE,"(10, 5)",CPU,0.034
TVAE,"(10, 5)",CPU,0.0336
TVAE,"(10, 5)",CPU,0.0455
TVAE,"(10, 5)",CPU,0.0478
TVAE,"(10, 5)",CPU,0.0332
TVAE,"(10, 5)",CPU,0.0332
TVAE,"(10, 5)",CPU,0.0332
TVAE,"(10, 5)",CPU,0.0334
TVAE,"(10, 5)",CPU,0.0332
TVAE,"(10, 5)",CPU,0.0328
TVAE,"(10, 5)",CPU,0.0326
TVAE,"(10, 5)",CPU,0.033
