Model,Architecture,Device,Time_seconds
TVAE,"(16, 8)",CPU,0.0394
TVAE,"(16, 8)",CPU,0.0291
TVAE,"(16, 8)",CPU,0.0291
TVAE,"(16, 8)",CPU,0.0321
TVAE,"(16, 8)",CPU,0.029
TVAE,"(16, 8)",CPU,0.029
TVAE,"(16, 8)",CPU,0.0285
TVAE,"(16, 8)",CPU,0.0299
TVAE,"(16, 8)",CPU,0.0285
TVAE,"(16, 8)",CPU,0.0287
TVAE,"(16, 8)",CPU,0.0282
TVAE,"(16, 8)",CPU,0.0276
TVAE,"(16, 8)",CPU,0.0303
TVAE,"(16, 8)",CPU,0.0278
TVAE,"(16, 8)",CPU,0.0299
TVAE,"(16, 8)",CPU,0.0386
TVAE,"(16, 8)",CPU,0.0344
TVAE,"(16, 8)",CPU,0.0279
TVAE,"(16, 8)",CPU,0.0281
TVAE,"(16, 8)",CPU,0.0271
TVAE,"(16, 8)",CPU,0.0283
TVAE,"(16, 8)",CPU,0.028
TVAE,"(16, 8)",CPU,0.0287
TVAE,"(16, 8)",CPU,0.0289
TVAE,"(16, 8)",CPU,0.0276
TVAE,"(16, 8)",CPU,0.0276
TVAE,"(16, 8)",CPU,0.0383
TVAE,"(16, 8)",CPU,0.0462
TVAE,"(16, 8)",CPU,0.029
TVAE,"(16, 8)",CPU,0.0277
TVAE,"(16, 8)",CPU,0.03
TVAE,"(16, 8)",CPU,0.0543
TVAE,"(16, 8)",CPU,0.0651
TVAE,"(16, 8)",CPU,0.1112
TVAE,"(16, 8)",CPU,0.1156
TVAE,"(16, 8)",CPU,0.0791
TVAE,"(16, 8)",CPU,0.0548
TVAE,"(16, 8)",CPU,0.0574
TVAE,"(16, 8)",CPU,0.0633
TVAE,"(16, 8)",CPU,0.0618
TVAE,"(16, 8)",CPU,0.0616
TVAE,"(16, 8)",CPU,0.057
TVAE,"(16, 8)",CPU,0.0652
TVAE,"(16, 8)",CPU,0.0636
TVAE,"(16, 8)",CPU,0.0577
TVAE,"(16, 8)",CPU,0.0536
TVAE,"(16, 8)",CPU,0.0655
TVAE,"(16, 8)",CPU,0.0687
TVAE,"(16, 8)",CPU,0.0382
TVAE,"(16, 8)",CPU,0.0319
TVAE,"(16, 8)",CPU,0.0358
TVAE,"(16, 8)",CPU,0.03
TVAE,"(16, 8)",CPU,0.0338
TVAE,"(16, 8)",CPU,0.0338
TVAE,"(16, 8)",CPU,0.0294
TVAE,"(16, 8)",CPU,0.0321
TVAE,"(16, 8)",CPU,0.0317
TVAE,"(16, 8)",CPU,0.0333
