Model,Architecture,Device,Time_seconds
TVAE,"(64, 32)",CUDA,0.0347
TVAE,"(64, 32)",CUDA,0.0376
TVAE,"(64, 32)",CUDA,0.0341
TVAE,"(64, 32)",CUDA,0.034
TVAE,"(64, 32)",CUDA,0.0335
TVAE,"(64, 32)",CUDA,0.0379
TVAE,"(64, 32)",CUDA,0.0562
TVAE,"(64, 32)",CUDA,0.0388
TVAE,"(64, 32)",CUDA,0.0339
TVAE,"(64, 32)",CUDA,0.0339
TVAE,"(64, 32)",CUDA,0.0339
TVAE,"(64, 32)",CUDA,0.0336
TVAE,"(64, 32)",CUDA,0.0339
TVAE,"(64, 32)",CUDA,0.0343
TVAE,"(64, 32)",CUDA,0.0341
TVAE,"(64, 32)",CUDA,0.0339
TVAE,"(64, 32)",CUDA,0.0335
TVAE,"(64, 32)",CUDA,0.0343
TVAE,"(64, 32)",CUDA,0.0345
TVAE,"(64, 32)",CUDA,0.0337
TVAE,"(64, 32)",CUDA,0.0332
TVAE,"(64, 32)",CUDA,0.033
TVAE,"(64, 32)",CUDA,0.0331
TVAE,"(64, 32)",CUDA,0.0334
TVAE,"(64, 32)",CUDA,0.0332
TVAE,"(64, 32)",CUDA,0.0333
TVAE,"(64, 32)",CUDA,0.0333
TVAE,"(64, 32)",CUDA,0.0331
TVAE,"(64, 32)",CUDA,0.0341
TVAE,"(64, 32)",CUDA,0.0337
TVAE,"(64, 32)",CUDA,0.0337
TVAE,"(64, 32)",CUDA,0.0334
TVAE,"(64, 32)",CUDA,0.0347
TVAE,"(64, 32)",CUDA,0.0421
TVAE,"(64, 32)",CUDA,0.0339
TVAE,"(64, 32)",CUDA,0.0576
TVAE,"(64, 32)",CUDA,0.0434
TVAE,"(64, 32)",CUDA,0.0334
TVAE,"(64, 32)",CUDA,0.0332
TVAE,"(64, 32)",CUDA,0.0339
TVAE,"(64, 32)",CUDA,0.0335
TVAE,"(64, 32)",CUDA,0.0338
TVAE,"(64, 32)",CUDA,0.0334
TVAE,"(64, 32)",CUDA,0.0329
TVAE,"(64, 32)",CUDA,0.0328
TVAE,"(64, 32)",CUDA,0.0338
TVAE,"(64, 32)",CUDA,0.0336
TVAE,"(64, 32)",CUDA,0.034
TVAE,"(64, 32)",CUDA,0.0338
TVAE,"(64, 32)",CUDA,0.0335
TVAE,"(64, 32)",CUDA,0.0341
TVAE,"(64, 32)",CUDA,0.0336
TVAE,"(64, 32)",CUDA,0.0337
TVAE,"(64, 32)",CUDA,0.0333
TVAE,"(64, 32)",CUDA,0.0339
TVAE,"(64, 32)",CUDA,0.0349
TVAE,"(64, 32)",CUDA,0.0339
TVAE,"(64, 32)",CUDA,0.0333
TVAE,"(64, 32)",CUDA,0.0338
TVAE,"(64, 32)",CUDA,0.0335
TVAE,"(64, 32)",CUDA,0.0345
TVAE,"(64, 32)",CUDA,0.0339
TVAE,"(64, 32)",CUDA,0.0336
TVAE,"(64, 32)",CUDA,0.0335
TVAE,"(64, 32)",CUDA,0.0525
TVAE,"(64, 32)",CUDA,0.0415
TVAE,"(64, 32)",CUDA,0.0339
TVAE,"(64, 32)",CUDA,0.0339
TVAE,"(64, 32)",CUDA,0.0347
TVAE,"(64, 32)",CUDA,0.034
TVAE,"(64, 32)",CUDA,0.0333
TVAE,"(64, 32)",CUDA,0.0334
TVAE,"(64, 32)",CUDA,0.0344
TVAE,"(64, 32)",CUDA,0.0342
TVAE,"(64, 32)",CUDA,0.0338
TVAE,"(64, 32)",CUDA,0.0335
TVAE,"(64, 32)",CUDA,0.0337
TVAE,"(64, 32)",CUDA,0.034
TVAE,"(64, 32)",CUDA,0.0342
TVAE,"(64, 32)",CUDA,0.0337
TVAE,"(64, 32)",CUDA,0.0332
TVAE,"(64, 32)",CUDA,0.0338
TVAE,"(64, 32)",CUDA,0.0334
TVAE,"(64, 32)",CUDA,0.0342
TVAE,"(64, 32)",CUDA,0.0332
TVAE,"(64, 32)",CUDA,0.033
TVAE,"(64, 32)",CUDA,0.0335
TVAE,"(64, 32)",CUDA,0.0337
TVAE,"(64, 32)",CUDA,0.0335
TVAE,"(64, 32)",CUDA,0.0336
TVAE,"(64, 32)",CUDA,0.0345
TVAE,"(64, 32)",CUDA,0.0349
TVAE,"(64, 32)",CUDA,0.035
TVAE,"(64, 32)",CUDA,0.052
TVAE,"(64, 32)",CUDA,0.046
TVAE,"(64, 32)",CUDA,0.0343
TVAE,"(64, 32)",CUDA,0.0347
TVAE,"(64, 32)",CUDA,0.037
TVAE,"(64, 32)",CUDA,0.0352
TVAE,"(64, 32)",CUDA,0.0339
TVAE,"(64, 32)",CUDA,0.0346
TVAE,"(64, 32)",CUDA,0.0356
TVAE,"(64, 32)",CUDA,0.0353
TVAE,"(64, 32)",CUDA,0.0355
TVAE,"(64, 32)",CUDA,0.0342
TVAE,"(64, 32)",CUDA,0.0338
TVAE,"(64, 32)",CUDA,0.0337
TVAE,"(64, 32)",CUDA,0.0336
TVAE,"(64, 32)",CUDA,0.0338
TVAE,"(64, 32)",CUDA,0.0335
TVAE,"(64, 32)",CUDA,0.0337
TVAE,"(64, 32)",CUDA,0.0342
TVAE,"(64, 32)",CUDA,0.0331
TVAE,"(64, 32)",CUDA,0.0333
TVAE,"(64, 32)",CUDA,0.0338
TVAE,"(64, 32)",CUDA,0.035
TVAE,"(64, 32)",CUDA,0.0332
TVAE,"(64, 32)",CUDA,0.033
TVAE,"(64, 32)",CUDA,0.0334
TVAE,"(64, 32)",CUDA,0.0341
TVAE,"(64, 32)",CUDA,0.0335
TVAE,"(64, 32)",CUDA,0.0337
TVAE,"(64, 32)",CUDA,0.0493
TVAE,"(64, 32)",CUDA,0.0461
TVAE,"(64, 32)",CUDA,0.0338
TVAE,"(64, 32)",CUDA,0.0339
TVAE,"(64, 32)",CUDA,0.0336
TVAE,"(64, 32)",CUDA,0.0336
TVAE,"(64, 32)",CUDA,0.0336
TVAE,"(64, 32)",CUDA,0.0342
TVAE,"(64, 32)",CUDA,0.0336
TVAE,"(64, 32)",CUDA,0.0335
TVAE,"(64, 32)",CUDA,0.0341
TVAE,"(64, 32)",CUDA,0.0372
TVAE,"(64, 32)",CUDA,0.0336
TVAE,"(64, 32)",CUDA,0.0339
TVAE,"(64, 32)",CUDA,0.0341
TVAE,"(64, 32)",CUDA,0.0341
TVAE,"(64, 32)",CUDA,0.0342
TVAE,"(64, 32)",CUDA,0.033
TVAE,"(64, 32)",CUDA,0.0338
TVAE,"(64, 32)",CUDA,0.0339
TVAE,"(64, 32)",CUDA,0.0335
TVAE,"(64, 32)",CUDA,0.0336
TVAE,"(64, 32)",CUDA,0.034
TVAE,"(64, 32)",CUDA,0.0333
TVAE,"(64, 32)",CUDA,0.0346
TVAE,"(64, 32)",CUDA,0.0342
TVAE,"(64, 32)",CUDA,0.0329
TVAE,"(64, 32)",CUDA,0.0325
TVAE,"(64, 32)",CUDA,0.0328
TVAE,"(64, 32)",CUDA,0.0547
TVAE,"(64, 32)",CUDA,0.0398
TVAE,"(64, 32)",CUDA,0.0331
TVAE,"(64, 32)",CUDA,0.0337
TVAE,"(64, 32)",CUDA,0.0334
TVAE,"(64, 32)",CUDA,0.0337
TVAE,"(64, 32)",CUDA,0.0332
TVAE,"(64, 32)",CUDA,0.0333
TVAE,"(64, 32)",CUDA,0.0335
TVAE,"(64, 32)",CUDA,0.0339
TVAE,"(64, 32)",CUDA,0.0337
TVAE,"(64, 32)",CUDA,0.0334
TVAE,"(64, 32)",CUDA,0.0329
TVAE,"(64, 32)",CUDA,0.0333
TVAE,"(64, 32)",CUDA,0.0335
TVAE,"(64, 32)",CUDA,0.0332
TVAE,"(64, 32)",CUDA,0.0332
TVAE,"(64, 32)",CUDA,0.0327
TVAE,"(64, 32)",CUDA,0.0334
TVAE,"(64, 32)",CUDA,0.0334
TVAE,"(64, 32)",CUDA,0.0333
TVAE,"(64, 32)",CUDA,0.0331
TVAE,"(64, 32)",CUDA,0.0335
TVAE,"(64, 32)",CUDA,0.0329
TVAE,"(64, 32)",CUDA,0.0333
TVAE,"(64, 32)",CUDA,0.0337
TVAE,"(64, 32)",CUDA,0.0336
TVAE,"(64, 32)",CUDA,0.0334
TVAE,"(64, 32)",CUDA,0.0332
TVAE,"(64, 32)",CUDA,0.0352
TVAE,"(64, 32)",CUDA,0.0543
TVAE,"(64, 32)",CUDA,0.0368
TVAE,"(64, 32)",CUDA,0.0358
