Model,Architecture,Device,Time_seconds
TVAE,"(10, 5)",CPU,0.4096
TVAE,"(10, 5)",CPU,1.0621
TVAE,"(10, 5)",CPU,0.4075
TVAE,"(10, 5)",CPU,0.495
TVAE,"(10, 5)",CPU,0.5811
TVAE,"(10, 5)",CPU,0.6038
TVAE,"(10, 5)",CPU,1.2447
TVAE,"(10, 5)",CPU,0.5096
TVAE,"(10, 5)",CPU,0.6405
TVAE,"(10, 5)",CPU,0.4901
TVAE,"(10, 5)",CPU,0.5867
TVAE,"(10, 5)",CPU,0.4282
TVAE,"(10, 5)",CPU,0.3511
TVAE,"(10, 5)",CPU,0.3883
TVAE,"(10, 5)",CPU,0.3424
TVAE,"(10, 5)",CPU,0.5113
TVAE,"(10, 5)",CPU,0.3224
TVAE,"(10, 5)",CPU,0.3478
TVAE,"(10, 5)",CPU,0.3877
TVAE,"(10, 5)",CPU,0.4311
TVAE,"(10, 5)",CPU,0.3015
TVAE,"(10, 5)",CPU,0.2999
TVAE,"(10, 5)",CPU,0.3131
TVAE,"(10, 5)",CPU,0.5539
TVAE,"(10, 5)",CPU,0.3607
TVAE,"(10, 5)",CPU,0.5051
TVAE,"(10, 5)",CPU,0.4239
TVAE,"(10, 5)",CPU,0.2542
TVAE,"(10, 5)",CPU,0.2395
TVAE,"(10, 5)",CPU,0.3879
TVAE,"(10, 5)",CPU,0.3424
TVAE,"(10, 5)",CPU,0.3435
TVAE,"(10, 5)",CPU,0.4194
TVAE,"(10, 5)",CPU,0.3878
TVAE,"(10, 5)",CPU,0.4543
TVAE,"(10, 5)",CPU,0.6276
TVAE,"(10, 5)",CPU,0.4875
TVAE,"(10, 5)",CPU,0.6354
TVAE,"(10, 5)",CPU,0.2828
TVAE,"(10, 5)",CPU,0.3473
TVAE,"(10, 5)",CPU,0.3212
TVAE,"(10, 5)",CPU,0.5896
TVAE,"(10, 5)",CPU,0.3484
TVAE,"(10, 5)",CPU,0.259
TVAE,"(10, 5)",CPU,0.2201
TVAE,"(10, 5)",CPU,0.9222
TVAE,"(10, 5)",CPU,0.8235
TVAE,"(10, 5)",CPU,0.5193
TVAE,"(10, 5)",CPU,0.2896
TVAE,"(10, 5)",CPU,0.3185
TVAE,"(10, 5)",CPU,0.2993
TVAE,"(10, 5)",CPU,0.3695
TVAE,"(10, 5)",CPU,0.3596
TVAE,"(10, 5)",CPU,0.451
TVAE,"(10, 5)",CPU,0.2809
TVAE,"(10, 5)",CPU,0.6062
