Model,Architecture,Device,Time_seconds
TVAE,"(10, 5)",CUDA,0.3006
TVAE,"(10, 5)",CUDA,0.45
TVAE,"(10, 5)",CUDA,0.4929
TVAE,"(10, 5)",CUDA,0.4592
TVAE,"(10, 5)",CUDA,0.4387
TVAE,"(10, 5)",CUDA,0.3526
TVAE,"(10, 5)",CUDA,0.2593
TVAE,"(10, 5)",CUDA,0.2479
TVAE,"(10, 5)",CUDA,0.3211
TVAE,"(10, 5)",CUDA,0.275
TVAE,"(10, 5)",CUDA,0.2264
TVAE,"(10, 5)",CUDA,0.2264
TVAE,"(10, 5)",CUDA,0.2279
TVAE,"(10, 5)",CUDA,0.2294
TVAE,"(10, 5)",CUDA,0.2328
TVAE,"(10, 5)",CUDA,0.2361
TVAE,"(10, 5)",CUDA,0.244
TVAE,"(10, 5)",CUDA,0.2314
TVAE,"(10, 5)",CUDA,0.254
TVAE,"(10, 5)",CUDA,0.2398
TVAE,"(10, 5)",CUDA,0.2276
TVAE,"(10, 5)",CUDA,0.239
TVAE,"(10, 5)",CUDA,0.2382
TVAE,"(10, 5)",CUDA,0.2286
TVAE,"(10, 5)",CUDA,0.2422
TVAE,"(10, 5)",CUDA,0.2652
TVAE,"(10, 5)",CUDA,0.2281
TVAE,"(10, 5)",CUDA,0.2341
TVAE,"(10, 5)",CUDA,0.2689
TVAE,"(10, 5)",CUDA,0.2296
TVAE,"(10, 5)",CUDA,0.228
TVAE,"(10, 5)",CUDA,0.2293
TVAE,"(10, 5)",CUDA,0.2298
TVAE,"(10, 5)",CUDA,0.2405
TVAE,"(10, 5)",CUDA,0.2348
TVAE,"(10, 5)",CUDA,0.2319
TVAE,"(10, 5)",CUDA,0.2368
TVAE,"(10, 5)",CUDA,0.2311
TVAE,"(10, 5)",CUDA,0.2318
TVAE,"(10, 5)",CUDA,0.2477
TVAE,"(10, 5)",CUDA,0.2306
TVAE,"(10, 5)",CUDA,0.2303
TVAE,"(10, 5)",CUDA,0.2673
TVAE,"(10, 5)",CUDA,0.2399
TVAE,"(10, 5)",CUDA,0.2324
TVAE,"(10, 5)",CUDA,0.2452
TVAE,"(10, 5)",CUDA,0.2324
TVAE,"(10, 5)",CUDA,0.2313
TVAE,"(10, 5)",CUDA,0.2317
TVAE,"(10, 5)",CUDA,0.2321
TVAE,"(10, 5)",CUDA,0.2352
TVAE,"(10, 5)",CUDA,0.2326
TVAE,"(10, 5)",CUDA,0.2308
TVAE,"(10, 5)",CUDA,0.2312
TVAE,"(10, 5)",CUDA,0.2307
TVAE,"(10, 5)",CUDA,0.2312
TVAE,"(10, 5)",CUDA,0.2395
TVAE,"(10, 5)",CUDA,0.2517
TVAE,"(10, 5)",CUDA,0.2492
TVAE,"(10, 5)",CUDA,0.2934
TVAE,"(10, 5)",CUDA,0.2608
TVAE,"(10, 5)",CUDA,0.2595
TVAE,"(10, 5)",CUDA,0.2307
TVAE,"(10, 5)",CUDA,0.2298
TVAE,"(10, 5)",CUDA,0.2338
TVAE,"(10, 5)",CUDA,0.2338
TVAE,"(10, 5)",CUDA,0.2357
TVAE,"(10, 5)",CUDA,0.2356
TVAE,"(10, 5)",CUDA,0.2462
TVAE,"(10, 5)",CUDA,0.2554
TVAE,"(10, 5)",CUDA,0.2412
TVAE,"(10, 5)",CUDA,0.2481
TVAE,"(10, 5)",CUDA,0.284
TVAE,"(10, 5)",CUDA,0.2703
TVAE,"(10, 5)",CUDA,0.2523
TVAE,"(10, 5)",CUDA,0.2761
TVAE,"(10, 5)",CUDA,0.2928
TVAE,"(10, 5)",CUDA,0.2376
TVAE,"(10, 5)",CUDA,0.2781
TVAE,"(10, 5)",CUDA,0.3192
TVAE,"(10, 5)",CUDA,0.3958
TVAE,"(10, 5)",CUDA,0.2875
TVAE,"(10, 5)",CUDA,0.3221
TVAE,"(10, 5)",CUDA,0.3308
TVAE,"(10, 5)",CUDA,0.3003
TVAE,"(10, 5)",CUDA,0.325
TVAE,"(10, 5)",CUDA,0.3506
TVAE,"(10, 5)",CUDA,0.3085
TVAE,"(10, 5)",CUDA,0.3249
TVAE,"(10, 5)",CUDA,0.317
TVAE,"(10, 5)",CUDA,0.2918
TVAE,"(10, 5)",CUDA,0.315
TVAE,"(10, 5)",CUDA,0.3329
TVAE,"(10, 5)",CUDA,0.3124
TVAE,"(10, 5)",CUDA,0.3027
TVAE,"(10, 5)",CUDA,0.3511
TVAE,"(10, 5)",CUDA,0.3066
TVAE,"(10, 5)",CUDA,0.2948
TVAE,"(10, 5)",CUDA,0.2945
TVAE,"(10, 5)",CUDA,0.3121
TVAE,"(10, 5)",CUDA,0.301
TVAE,"(10, 5)",CUDA,0.3163
TVAE,"(10, 5)",CUDA,0.3254
TVAE,"(10, 5)",CUDA,0.3244
TVAE,"(10, 5)",CUDA,0.3001
TVAE,"(10, 5)",CUDA,0.3236
TVAE,"(10, 5)",CUDA,0.3136
TVAE,"(10, 5)",CUDA,0.2926
TVAE,"(10, 5)",CUDA,0.2961
TVAE,"(10, 5)",CUDA,0.2983
TVAE,"(10, 5)",CUDA,0.2952
TVAE,"(10, 5)",CUDA,0.2831
TVAE,"(10, 5)",CUDA,0.3303
TVAE,"(10, 5)",CUDA,0.285
TVAE,"(10, 5)",CUDA,0.2998
TVAE,"(10, 5)",CUDA,0.3077
TVAE,"(10, 5)",CUDA,0.2997
TVAE,"(10, 5)",CUDA,0.3205
TVAE,"(10, 5)",CUDA,0.2847
TVAE,"(10, 5)",CUDA,0.3203
TVAE,"(10, 5)",CUDA,0.3109
TVAE,"(10, 5)",CUDA,0.278
TVAE,"(10, 5)",CUDA,0.3405
TVAE,"(10, 5)",CUDA,0.2766
TVAE,"(10, 5)",CUDA,0.2844
TVAE,"(10, 5)",CUDA,0.3496
TVAE,"(10, 5)",CUDA,0.3312
TVAE,"(10, 5)",CUDA,0.3292
TVAE,"(10, 5)",CUDA,0.3364
TVAE,"(10, 5)",CUDA,0.2956
TVAE,"(10, 5)",CUDA,0.3122
TVAE,"(10, 5)",CUDA,0.2905
TVAE,"(10, 5)",CUDA,0.3197
TVAE,"(10, 5)",CUDA,0.288
TVAE,"(10, 5)",CUDA,0.3045
TVAE,"(10, 5)",CUDA,0.3378
TVAE,"(10, 5)",CUDA,0.3033
TVAE,"(10, 5)",CUDA,0.3141
TVAE,"(10, 5)",CUDA,0.3006
TVAE,"(10, 5)",CUDA,0.3086
TVAE,"(10, 5)",CUDA,0.2868
TVAE,"(10, 5)",CUDA,0.2992
TVAE,"(10, 5)",CUDA,0.3319
TVAE,"(10, 5)",CUDA,0.2878
TVAE,"(10, 5)",CUDA,0.3136
TVAE,"(10, 5)",CUDA,0.3216
TVAE,"(10, 5)",CUDA,0.2882
TVAE,"(10, 5)",CUDA,0.2799
TVAE,"(10, 5)",CUDA,0.3118
TVAE,"(10, 5)",CUDA,0.3
TVAE,"(10, 5)",CUDA,0.2934
TVAE,"(10, 5)",CUDA,0.3115
TVAE,"(10, 5)",CUDA,0.3193
TVAE,"(10, 5)",CUDA,0.2943
TVAE,"(10, 5)",CUDA,0.2889
TVAE,"(10, 5)",CUDA,0.3069
TVAE,"(10, 5)",CUDA,0.3083
TVAE,"(10, 5)",CUDA,0.2833
TVAE,"(10, 5)",CUDA,0.3056
TVAE,"(10, 5)",CUDA,0.298
TVAE,"(10, 5)",CUDA,0.2964
TVAE,"(10, 5)",CUDA,0.2884
TVAE,"(10, 5)",CUDA,0.3145
TVAE,"(10, 5)",CUDA,0.295
TVAE,"(10, 5)",CUDA,0.2858
TVAE,"(10, 5)",CUDA,0.3097
TVAE,"(10, 5)",CUDA,0.3063
TVAE,"(10, 5)",CUDA,0.2903
TVAE,"(10, 5)",CUDA,0.2877
TVAE,"(10, 5)",CUDA,0.3104
TVAE,"(10, 5)",CUDA,0.3323
TVAE,"(10, 5)",CUDA,0.2881
TVAE,"(10, 5)",CUDA,0.3197
TVAE,"(10, 5)",CUDA,0.3247
TVAE,"(10, 5)",CUDA,0.2984
TVAE,"(10, 5)",CUDA,0.321
TVAE,"(10, 5)",CUDA,0.2958
TVAE,"(10, 5)",CUDA,0.2876
TVAE,"(10, 5)",CUDA,0.2911
TVAE,"(10, 5)",CUDA,0.309
TVAE,"(10, 5)",CUDA,0.2776
TVAE,"(10, 5)",CUDA,0.3175
TVAE,"(10, 5)",CUDA,0.3278
TVAE,"(10, 5)",CUDA,0.2864
TVAE,"(10, 5)",CUDA,0.285
TVAE,"(10, 5)",CUDA,0.335
TVAE,"(10, 5)",CUDA,0.3279
TVAE,"(10, 5)",CUDA,0.2841
TVAE,"(10, 5)",CUDA,0.2927
TVAE,"(10, 5)",CUDA,0.3207
TVAE,"(10, 5)",CUDA,0.2873
TVAE,"(10, 5)",CUDA,0.2937
TVAE,"(10, 5)",CUDA,0.318
TVAE,"(10, 5)",CUDA,0.3019
TVAE,"(10, 5)",CUDA,0.292
TVAE,"(10, 5)",CUDA,0.3347
TVAE,"(10, 5)",CUDA,0.305
TVAE,"(10, 5)",CUDA,0.2887
TVAE,"(10, 5)",CUDA,0.2923
TVAE,"(10, 5)",CUDA,0.3205
TVAE,"(10, 5)",CUDA,0.2912
TVAE,"(10, 5)",CUDA,0.2862
TVAE,"(10, 5)",CUDA,0.305
TVAE,"(10, 5)",CUDA,0.2748
TVAE,"(10, 5)",CUDA,0.2756
TVAE,"(10, 5)",CUDA,0.2831
TVAE,"(10, 5)",CUDA,0.3368
TVAE,"(10, 5)",CUDA,0.3121
TVAE,"(10, 5)",CUDA,0.2893
TVAE,"(10, 5)",CUDA,0.313
TVAE,"(10, 5)",CUDA,0.2909
TVAE,"(10, 5)",CUDA,0.2958
TVAE,"(10, 5)",CUDA,0.331
TVAE,"(10, 5)",CUDA,0.2845
TVAE,"(10, 5)",CUDA,0.2813
TVAE,"(10, 5)",CUDA,0.29
TVAE,"(10, 5)",CUDA,0.3012
TVAE,"(10, 5)",CUDA,0.306
TVAE,"(10, 5)",CUDA,0.3022
TVAE,"(10, 5)",CUDA,0.3146
TVAE,"(10, 5)",CUDA,0.2795
TVAE,"(10, 5)",CUDA,0.2862
TVAE,"(10, 5)",CUDA,0.3159
TVAE,"(10, 5)",CUDA,0.2792
TVAE,"(10, 5)",CUDA,0.2981
